BinaryRecall,BinaryAccuracy,BinaryAUROC,BinaryPrecision,BinaryFBetaScore,Loss
0.2939894,0.6170408,0.61325544,0.51581085,0.3587226,0.65450954
0.3167698,0.62220186,0.6410975,0.38516384,0.36903775,0.64771974
0.33666313,0.6282486,0.66142696,0.3920414,0.37882745,0.64258236
0.3489407,0.6281264,0.6718775,0.38913733,0.3798898,0.639497
0.34686628,0.6266605,0.6766465,0.38711098,0.37799188,0.63770735
0.35626596,0.62861514,0.68019277,0.57737315,0.38342348,0.63578403
0.34472814,0.63017255,0.6830658,0.6171758,0.3973677,0.6339213
0.3469352,0.6326462,0.6850293,0.61889464,0.4317826,0.63236123
0.36810157,0.63292104,0.6855182,0.60660493,0.46242735,0.63156456
0.37615526,0.6346923,0.6860163,0.6010746,0.4832781,0.6306845
0.40403765,0.63811266,0.686959,0.5994974,0.50956607,0.62960446
0.41393822,0.6385402,0.6874961,0.5942594,0.5219542,0.6289634
0.403381,0.639884,0.6879319,0.59807986,0.532889,0.62833786
0.44435167,0.6412888,0.68746376,0.5891303,0.5436141,0.62810475
0.43376786,0.6442205,0.6880735,0.5968771,0.54886824,0.6273681
0.45263487,0.6455031,0.6893801,0.5939395,0.5540153,0.6264771
0.44221738,0.64165515,0.6884448,0.59001946,0.5469697,0.6273831
0.4689676,0.64193016,0.6892245,0.5854592,0.5505017,0.6275764
0.48894042,0.6466941,0.68999875,0.58746225,0.5618861,0.62528735
0.45388225,0.6478852,0.6898323,0.5966913,0.5597679,0.6256922
0.4629945,0.64550316,0.68984985,0.59228307,0.5578786,0.62625015
0.46912792,0.6465109,0.688275,0.5922249,0.55983526,0.6286991
0.48340908,0.64657193,0.6884223,0.5898733,0.5615701,0.62899196
0.4871675,0.6473356,0.68877655,0.58860356,0.5635462,0.6277483
0.48627883,0.6489846,0.6891695,0.59368986,0.5645565,0.6321506
0.4927847,0.6457779,0.6882259,0.5877827,0.56303203,0.6319469
0.51031166,0.647366,0.68870664,0.58584434,0.566679,0.63260657
0.4993791,0.64571685,0.68811935,0.58454514,0.56234604,0.6361798
0.4910124,0.64495337,0.68771243,0.5857156,0.55946946,0.63803196
