,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,epoch_loss
0,0.024,0.037,0.594,0.021,0.195,0.351,0.367,0.053,0.381,0.404,2.1358098102112613
1,0.405,0.253,0.014,0.002,0.283,0.475,0.531,0.384,0.127,0.28,2.112491447384159
2,0.474,0.077,0.124,0.146,0.081,0.134,0.363,0.74,0.001,0.157,2.1202141662140686
3,0.475,0.035,0.233,0.48,0.09,0.161,0.419,0.223,0.124,0.46,2.125297843930622
4,0.02,0.417,0.097,0.25,0.411,0.035,0.486,0.176,0.57,0.297,2.134282931342721
5,0.046,0.196,0.61,0.025,0.227,0.235,0.054,0.309,0.181,0.243,2.1341248379747073
6,0.087,0.223,0.05,0.056,0.501,0.025,0.441,0.42,0.704,0.001,2.1400249219983816
7,0.484,0.428,0.251,0.08,0.163,0.241,0.587,0.348,0.211,0.178,2.144045687119166
8,0.323,0.249,0.138,0.367,0.208,0.146,0.044,0.333,0.579,0.13,2.146655775378148
9,0.171,0.483,0.634,0.126,0.192,0.067,0.209,0.255,0.207,0.164,2.1412459284116823
10,0.052,0.075,0.187,0.228,0.133,0.002,0.465,0.682,0.17,0.41,2.1473796267708143
11,0.293,0.229,0.436,0.086,0.112,0.249,0.422,0.116,0.216,0.447,2.1509720724895596
12,0.633,0.312,0.217,0.036,0.125,0.505,0.285,0.23,0.073,0.199,2.151055924244225
13,0.103,0.541,0.148,0.108,0.223,0.192,0.412,0.553,0.432,0.159,2.1477535939787824
14,0.615,0.148,0.118,0.217,0.446,0.043,0.301,0.086,0.141,0.507,2.151541312716901
15,0.459,0.411,0.122,0.142,0.212,0.278,0.189,0.465,0.134,0.318,2.1495898509398104
16,0.071,0.599,0.071,0.152,0.205,0.225,0.299,0.555,0.381,0.157,2.1447114396542313
17,0.211,0.084,0.246,0.288,0.112,0.115,0.37,0.399,0.689,0.087,2.148191516612967
18,0.313,0.22,0.249,0.282,0.219,0.089,0.355,0.361,0.385,0.359,2.156313289821148
19,0.391,0.033,0.135,0.022,0.265,0.271,0.372,0.311,0.533,0.508,2.1495562959859766
20,0.408,0.07,0.178,0.126,0.225,0.29,0.414,0.241,0.187,0.599,2.1512376172170042
21,0.297,0.127,0.028,0.04,0.213,0.142,0.496,0.712,0.318,0.195,2.1579671319052576
22,0.247,0.21,0.047,0.381,0.325,0.259,0.426,0.353,0.374,0.201,2.1573339323724308
23,0.439,0.264,0.1,0.062,0.487,0.328,0.189,0.375,0.452,0.073,2.1518535417889555
24,0.356,0.059,0.158,0.284,0.439,0.221,0.401,0.155,0.361,0.294,2.148512849052747
25,0.284,0.684,0.18,0.063,0.022,0.253,0.421,0.117,0.497,0.028,2.151258017430703
26,0.083,0.103,0.151,0.23,0.328,0.135,0.215,0.338,0.683,0.406,2.1528160354072847
27,0.566,0.108,0.256,0.411,0.19,0.044,0.307,0.365,0.163,0.225,2.152976935784022
28,0.218,0.082,0.376,0.038,0.151,0.473,0.333,0.306,0.029,0.528,2.14427290447553
29,0.092,0.404,0.147,0.758,0.156,0.025,0.162,0.161,0.452,0.069,2.150678200160464
30,0.047,0.407,0.198,0.137,0.114,0.123,0.251,0.285,0.792,0.093,2.1520048741698266
31,0.338,0.428,0.255,0.31,0.252,0.09,0.246,0.409,0.342,0.279,2.1495725652724507
32,0.267,0.316,0.123,0.244,0.042,0.022,0.492,0.472,0.413,0.418,2.1563101333379744
33,0.419,0.181,0.223,0.356,0.17,0.012,0.4,0.535,0.162,0.3,2.157131910438339
34,0.177,0.575,0.108,0.268,0.379,0.232,0.256,0.298,0.321,0.164,2.1581116300200422
35,0.145,0.561,0.107,0.157,0.184,0.259,0.596,0.198,0.531,0.069,2.1559212122261524
36,0.63,0.642,0.195,0.339,0.141,0.018,0.405,0.274,0.017,0.04,2.154684441921612
37,0.291,0.287,0.185,0.422,0.197,0.151,0.48,0.297,0.027,0.417,2.149310553590457
38,0.239,0.485,0.261,0.015,0.213,0.415,0.399,0.234,0.299,0.205,2.1534564138700563
39,0.099,0.219,0.141,0.004,0.21,0.269,0.228,0.706,0.251,0.35,2.1534916318704687
40,0.117,0.235,0.28,0.205,0.188,0.213,0.489,0.208,0.368,0.488,2.155649286578099
41,0.119,0.217,0.108,0.092,0.568,0.243,0.374,0.107,0.613,0.041,2.147701748266816
42,0.275,0.152,0.175,0.168,0.063,0.412,0.354,0.048,0.592,0.4,2.15099053474764
43,0.472,0.468,0.187,0.189,0.268,0.3,0.516,0.157,0.12,0.118,2.149235782245795
44,0.362,0.143,0.081,0.313,0.526,0.178,0.149,0.163,0.252,0.531,2.1493416007185977
45,0.175,0.29,0.335,0.356,0.25,0.235,0.314,0.166,0.399,0.148,2.156133121419698
46,0.253,0.479,0.089,0.064,0.109,0.045,0.448,0.316,0.643,0.296,2.1520456902235745
47,0.277,0.099,0.168,0.004,0.08,0.697,0.495,0.125,0.176,0.292,2.1515801619042954
48,0.33,0.089,0.234,0.229,0.324,0.18,0.266,0.184,0.621,0.224,2.1474139551793536
49,0.085,0.441,0.032,0.36,0.287,0.266,0.225,0.109,0.495,0.375,2.149948100445171
50,0.212,0.371,0.207,0.213,0.128,0.366,0.243,0.305,0.531,0.053,2.1494854523316027
51,0.408,0.395,0.237,0.046,0.391,0.363,0.435,0.155,0.117,0.224,2.155845911428332
52,0.37,0.15,0.228,0.367,0.225,0.168,0.128,0.262,0.603,0.214,2.153867387481034
53,0.228,0.221,0.068,0.15,0.336,0.286,0.461,0.437,0.285,0.451,2.1521357649713755
54,0.369,0.061,0.113,0.178,0.699,0.204,0.106,0.143,0.194,0.402,2.1524976227134465
55,0.138,0.393,0.108,0.01,0.167,0.519,0.273,0.23,0.546,0.361,2.1510696234231195
56,0.428,0.371,0.091,0.158,0.462,0.307,0.241,0.317,0.359,0.193,2.1575081524898607
57,0.428,0.158,0.035,0.075,0.107,0.215,0.505,0.28,0.378,0.543,2.1561520839706065
58,0.151,0.175,0.224,0.18,0.502,0.148,0.175,0.509,0.253,0.242,2.153516913627585
59,0.52,0.461,0.029,0.398,0.222,0.238,0.197,0.192,0.192,0.193,2.153502647479375
60,0.149,0.627,0.381,0.05,0.222,0.055,0.218,0.348,0.246,0.245,2.1536193828582766
