,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,epoch_loss
0,0.342,0.292,0.266,0.287,0.22,0.103,0.414,0.542,0.475,0.258,1.93804843968153
1,0.319,0.498,0.124,0.236,0.232,0.18,0.447,0.414,0.406,0.436,1.9040385492295027
2,0.331,0.434,0.153,0.276,0.181,0.227,0.325,0.398,0.572,0.312,1.8926992437591155
3,0.363,0.411,0.215,0.125,0.309,0.303,0.3,0.435,0.385,0.366,1.889434119562308
4,0.6,0.429,0.244,0.149,0.295,0.288,0.378,0.216,0.222,0.344,1.889807047650218
5,0.387,0.204,0.136,0.211,0.388,0.341,0.284,0.565,0.363,0.399,1.8831681661506494
6,0.366,0.541,0.145,0.223,0.367,0.285,0.48,0.441,0.201,0.119,1.8804690374707183
7,0.579,0.345,0.343,0.211,0.267,0.301,0.345,0.339,0.16,0.373,1.8814207284102837
8,0.192,0.414,0.232,0.157,0.232,0.24,0.535,0.398,0.483,0.402,1.8809157881935437
9,0.345,0.368,0.227,0.206,0.404,0.33,0.38,0.261,0.459,0.287,1.8828665879964828
10,0.347,0.281,0.139,0.274,0.266,0.327,0.488,0.375,0.329,0.524,1.877176744028926
11,0.633,0.347,0.206,0.27,0.244,0.266,0.365,0.243,0.285,0.425,1.879228875676791
12,0.377,0.389,0.21,0.288,0.455,0.193,0.395,0.343,0.391,0.411,1.8787537500162919
13,0.43,0.292,0.324,0.104,0.371,0.279,0.324,0.396,0.355,0.483,1.8768828518191973
14,0.37,0.41,0.186,0.289,0.257,0.122,0.531,0.481,0.284,0.439,1.879150957579414
15,0.31,0.388,0.411,0.396,0.205,0.272,0.291,0.325,0.295,0.413,1.8746668560405573
16,0.398,0.22,0.272,0.156,0.431,0.213,0.528,0.347,0.188,0.523,1.8750282112061978
17,0.268,0.34,0.251,0.26,0.184,0.341,0.455,0.335,0.533,0.393,1.8758176170786223
18,0.455,0.36,0.222,0.159,0.44,0.393,0.531,0.237,0.119,0.325,1.8697290980418524
19,0.474,0.485,0.27,0.162,0.212,0.166,0.38,0.551,0.267,0.305,1.8759304398298264
20,0.442,0.159,0.212,0.385,0.421,0.197,0.365,0.317,0.335,0.503,1.8692507906754812
21,0.443,0.358,0.228,0.363,0.254,0.169,0.387,0.214,0.41,0.474,1.8713819632728894
22,0.389,0.31,0.161,0.314,0.339,0.262,0.276,0.345,0.525,0.442,1.8729228338450192
23,0.425,0.391,0.212,0.213,0.381,0.112,0.572,0.251,0.461,0.261,1.8705413345942894
24,0.385,0.328,0.248,0.184,0.255,0.375,0.47,0.481,0.255,0.42,1.8748170269255837
25,0.482,0.304,0.296,0.125,0.206,0.442,0.524,0.288,0.23,0.446,1.8789900856862465
26,0.454,0.344,0.229,0.159,0.338,0.178,0.535,0.439,0.198,0.512,1.8683240777005752
27,0.495,0.364,0.151,0.173,0.431,0.222,0.457,0.296,0.242,0.545,1.8718539583931366
28,0.234,0.406,0.259,0.272,0.349,0.22,0.43,0.28,0.636,0.274,1.8707610955635707
29,0.33,0.352,0.309,0.152,0.362,0.427,0.337,0.428,0.301,0.394,1.8772467716907462
30,0.381,0.365,0.242,0.441,0.28,0.121,0.508,0.343,0.488,0.206,1.8683985526065032
31,0.363,0.373,0.253,0.463,0.365,0.207,0.338,0.198,0.411,0.392,1.873419605717063
32,0.269,0.459,0.118,0.202,0.443,0.376,0.449,0.306,0.428,0.332,1.8673775717367729
33,0.302,0.443,0.333,0.276,0.416,0.206,0.305,0.415,0.481,0.168,1.87174715303878
34,0.482,0.284,0.299,0.157,0.344,0.287,0.387,0.161,0.544,0.354,1.8714352157314618
35,0.424,0.383,0.303,0.122,0.324,0.466,0.239,0.35,0.271,0.455,1.865150674606363
36,0.44,0.532,0.309,0.289,0.358,0.252,0.39,0.285,0.179,0.315,1.8697941852658988
37,0.292,0.459,0.243,0.186,0.213,0.31,0.557,0.408,0.394,0.36,1.867495742989083
38,0.508,0.306,0.145,0.273,0.239,0.195,0.387,0.598,0.284,0.352,1.8708357136771083
39,0.455,0.309,0.186,0.378,0.45,0.128,0.435,0.38,0.336,0.327,1.8696081198900938
40,0.278,0.418,0.212,0.431,0.355,0.209,0.507,0.349,0.388,0.164,1.8666473763287068
41,0.265,0.246,0.161,0.456,0.45,0.134,0.327,0.443,0.457,0.335,1.8660529100497563
42,0.399,0.313,0.236,0.428,0.272,0.293,0.499,0.201,0.374,0.303,1.8623142848163843
43,0.3,0.465,0.32,0.383,0.334,0.178,0.295,0.327,0.44,0.291,1.8644688722838958
44,0.449,0.141,0.141,0.199,0.168,0.284,0.587,0.475,0.37,0.429,1.8623642674585184
45,0.368,0.217,0.343,0.157,0.113,0.383,0.558,0.384,0.264,0.466,1.8682898403853179
46,0.454,0.22,0.271,0.359,0.245,0.283,0.509,0.388,0.207,0.384,1.865544745857517
47,0.473,0.465,0.166,0.31,0.213,0.303,0.52,0.379,0.347,0.189,1.8791426917488376
48,0.35,0.346,0.133,0.403,0.409,0.063,0.38,0.327,0.494,0.484,1.8653349212308725
49,0.486,0.396,0.251,0.202,0.226,0.297,0.57,0.301,0.378,0.264,1.8654683174043893
50,0.339,0.248,0.15,0.425,0.296,0.159,0.408,0.458,0.404,0.493,1.8679515477021535
51,0.436,0.342,0.165,0.325,0.307,0.225,0.42,0.417,0.448,0.315,1.8693317527373632
52,0.44,0.447,0.252,0.427,0.243,0.166,0.563,0.253,0.348,0.263,1.866503099784255
53,0.354,0.433,0.322,0.312,0.271,0.177,0.542,0.233,0.465,0.297,1.8704062188714743
54,0.218,0.276,0.215,0.249,0.241,0.309,0.549,0.377,0.535,0.442,1.8689610202610494
55,0.383,0.186,0.133,0.301,0.42,0.3,0.516,0.303,0.451,0.345,1.8656533973043163
56,0.554,0.384,0.206,0.376,0.251,0.204,0.509,0.291,0.289,0.251,1.86562815357248
57,0.265,0.424,0.133,0.283,0.248,0.307,0.541,0.379,0.588,0.309,1.8661084386110305
58,0.315,0.317,0.405,0.306,0.201,0.245,0.403,0.398,0.444,0.4,1.8633669263025125
59,0.463,0.371,0.225,0.121,0.301,0.378,0.459,0.455,0.331,0.292,1.8624570695136984
60,0.391,0.399,0.246,0.239,0.235,0.465,0.495,0.327,0.281,0.324,1.8743827578127383
61,0.379,0.489,0.286,0.222,0.293,0.239,0.523,0.262,0.287,0.399,1.86222847366333
62,0.407,0.321,0.316,0.138,0.261,0.226,0.418,0.345,0.33,0.622,1.8657673432479303
63,0.327,0.307,0.226,0.08,0.257,0.417,0.553,0.402,0.37,0.435,1.8660300683577855
64,0.41,0.219,0.2,0.349,0.313,0.214,0.449,0.364,0.276,0.589,1.8646217301785946
65,0.406,0.303,0.096,0.144,0.472,0.288,0.342,0.541,0.313,0.365,1.8681872114638487
66,0.372,0.356,0.251,0.201,0.418,0.205,0.565,0.225,0.277,0.444,1.8676619099577267
67,0.485,0.342,0.314,0.105,0.277,0.351,0.581,0.397,0.251,0.232,1.8746993735184272
68,0.522,0.458,0.154,0.299,0.402,0.172,0.294,0.433,0.284,0.379,1.8615177827676137
69,0.382,0.315,0.283,0.232,0.238,0.247,0.563,0.322,0.476,0.384,1.8684071379651626
70,0.282,0.408,0.261,0.233,0.324,0.271,0.414,0.423,0.526,0.329,1.8692701402703922
71,0.592,0.455,0.296,0.183,0.15,0.266,0.393,0.333,0.173,0.365,1.8687315510263045
72,0.296,0.478,0.115,0.2,0.291,0.318,0.511,0.26,0.576,0.325,1.858869697208206
73,0.398,0.369,0.309,0.319,0.271,0.144,0.439,0.423,0.231,0.51,1.8692257217864197
74,0.369,0.491,0.211,0.363,0.444,0.112,0.45,0.256,0.324,0.328,1.8676405106236538
75,0.477,0.36,0.338,0.277,0.305,0.183,0.451,0.371,0.38,0.194,1.862763204574585
76,0.337,0.309,0.337,0.459,0.344,0.169,0.259,0.333,0.455,0.246,1.8560305400242407
77,0.326,0.179,0.313,0.244,0.484,0.209,0.35,0.344,0.503,0.28,1.8644901088227828
78,0.467,0.37,0.297,0.207,0.471,0.371,0.359,0.253,0.146,0.318,1.8673180567473173
79,0.198,0.479,0.386,0.203,0.309,0.248,0.427,0.34,0.481,0.202,1.8640650370568037
80,0.367,0.489,0.187,0.284,0.414,0.281,0.465,0.339,0.366,0.28,1.8669873368988434
81,0.384,0.414,0.276,0.19,0.312,0.271,0.506,0.369,0.389,0.415,1.8630056530833243
82,0.301,0.458,0.211,0.181,0.347,0.279,0.492,0.307,0.433,0.442,1.85940464630723
83,0.248,0.235,0.252,0.347,0.307,0.177,0.495,0.316,0.529,0.529,1.8630857582936684
84,0.548,0.563,0.203,0.319,0.247,0.207,0.498,0.221,0.267,0.234,1.8658216959238052
85,0.353,0.418,0.198,0.22,0.305,0.194,0.488,0.349,0.478,0.48,1.8668795789132515
86,0.517,0.429,0.219,0.267,0.256,0.224,0.556,0.292,0.256,0.405,1.8641005903234085
87,0.386,0.411,0.213,0.25,0.471,0.195,0.419,0.345,0.338,0.38,1.8624591842691103
88,0.413,0.435,0.265,0.228,0.413,0.153,0.502,0.404,0.372,0.23,1.8599913345028958
89,0.394,0.244,0.417,0.2,0.258,0.268,0.457,0.296,0.413,0.45,1.8653919703811408
90,0.162,0.571,0.22,0.259,0.357,0.295,0.408,0.317,0.408,0.328,1.863596601406733
91,0.336,0.45,0.271,0.161,0.319,0.201,0.549,0.359,0.339,0.448,1.8625172067483267
92,0.277,0.436,0.385,0.265,0.213,0.244,0.426,0.499,0.351,0.231,1.8601967255249618
93,0.285,0.4,0.214,0.121,0.428,0.373,0.48,0.434,0.324,0.289,1.8716313460568588
94,0.392,0.187,0.399,0.257,0.263,0.213,0.364,0.453,0.351,0.497,1.8599037537972132
95,0.279,0.363,0.098,0.283,0.261,0.313,0.414,0.489,0.517,0.313,1.8681862297356129
96,0.269,0.279,0.123,0.075,0.132,0.254,0.658,0.603,0.386,0.42,1.861405140141646
97,0.396,0.216,0.212,0.317,0.36,0.334,0.41,0.311,0.436,0.42,1.8677785638769469
98,0.336,0.264,0.203,0.077,0.44,0.295,0.344,0.334,0.458,0.592,1.8674347553600867
99,0.155,0.533,0.292,0.116,0.365,0.326,0.577,0.365,0.355,0.186,1.8660764320765932
