,BinaryRecall,BinaryAccuracy,BinaryAUROC,BinaryPrecision,BinaryFBetaScore,Loss
0,0.11864921,0.5713926,0.53737193,0.4291194,0.28066865,0.68032503
1,5.54785e-05,0.587082,0.60325086,0.2,0.00027708506,0.67048115
2,0.000388288,0.5871736,0.6266292,0.6,0.0019356124,0.6671215
3,0.0013867317,0.5872881,0.64652336,0.58717954,0.0068597696,0.6633915
4,0.005103253,0.5881356,0.6558953,0.6742198,0.024741318,0.6603034
5,0.015864667,0.58969307,0.6624417,0.61787474,0.07160617,0.657271
6,0.037663363,0.5944114,0.6658538,0.65722245,0.1520716,0.65457475
7,0.07582667,0.6001145,0.6686741,0.63120335,0.2559205,0.65167505
8,0.114156924,0.6060467,0.67225105,0.62521327,0.32909432,0.648897
9,0.15109871,0.61197895,0.6742966,0.6244052,0.38307732,0.646348
10,0.18615563,0.61644524,0.67444694,0.6176453,0.42174506,0.6442574
11,0.21716197,0.618667,0.6739691,0.6069926,0.44648743,0.64269716
12,0.25083265,0.62434727,0.67721236,0.6095098,0.47364855,0.6401125
13,0.29343334,0.6306917,0.680124,0.6094872,0.5013529,0.6375283
14,0.302142,0.630875,0.68037283,0.6062788,0.5045415,0.6359738
15,0.32504982,0.6325699,0.68050814,0.6020236,0.514283,0.6348096
16,0.33897305,0.6344938,0.6799692,0.60208005,0.5210151,0.63401955
17,0.36343512,0.63850206,0.6821346,0.6032654,0.5328535,0.6322903
18,0.37913266,0.6367384,0.6810768,0.5942489,0.53368205,0.6317779
19,0.3841254,0.63948697,0.6830874,0.59884953,0.5385868,0.6303279
20,0.39472002,0.63950986,0.6838125,0.59577405,0.54066914,0.62940085
21,0.40337285,0.63852495,0.682843,0.5912345,0.5408093,0.6292552
22,0.41369033,0.64154834,0.6858326,0.5948687,0.54693854,0.6274051
23,0.42206597,0.6424874,0.6860477,0.59450203,0.54958475,0.6271631
24,0.42422956,0.64287674,0.68684465,0.59462845,0.55036145,0.6265522
25,0.43144035,0.6429455,0.6866005,0.59300596,0.55167216,0.6263258
26,0.43854055,0.6455337,0.68776035,0.59623706,0.5562229,0.6255475
27,0.43482333,0.64312875,0.6881439,0.592549,0.5524279,0.6252142
28,0.4498555,0.646175,0.6881857,0.59455353,0.55855674,0.62509567
29,0.44736075,0.64512146,0.688571,0.5931716,0.5568547,0.62470233
30,0.45046538,0.6465415,0.69020563,0.59518754,0.55919796,0.62361073
31,0.4520201,0.64555657,0.6904499,0.59283656,0.55803347,0.62341464
32,0.4555695,0.6465186,0.69055766,0.5938168,0.5598213,0.6233279
33,0.46194905,0.64967936,0.69175625,0.59812105,0.56479055,0.622847
34,0.46006164,0.64805317,0.6920398,0.5956892,0.56244814,0.6224886
35,0.4659423,0.6484654,0.6930617,0.59491235,0.563696,0.6219157
36,0.4620037,0.64928997,0.69283926,0.5973612,0.56427354,0.6219403
37,0.4737088,0.65002286,0.69401664,0.5957798,0.5665218,0.6209769
38,0.46572027,0.6502749,0.69350046,0.598299,0.5660667,0.62117827
39,0.46638542,0.650733,0.6937467,0.5990615,0.5667953,0.6213794
40,0.4738194,0.648809,0.69354063,0.5936481,0.5650379,0.62128264
41,0.4684941,0.65082455,0.6950699,0.59854585,0.5670291,0.62040305
42,0.48335925,0.6557032,0.6971993,0.6038185,0.57514745,0.6192727
43,0.4718779,0.65428305,0.69612896,0.60417867,0.57207215,0.6195568
44,0.48030996,0.6529088,0.6961939,0.5993881,0.5710152,0.61997974
45,0.4730974,0.6492671,0.69583684,0.59467554,0.5655966,0.6197256
46,0.47448468,0.6529776,0.698084,0.60111856,0.57063603,0.6185209
47,0.47925478,0.6534356,0.69685936,0.6007034,0.5717153,0.6193145
48,0.4796986,0.6543976,0.6967286,0.60235506,0.5730381,0.61942273
49,0.4766478,0.65355015,0.69765747,0.6016271,0.5716267,0.6186962
50,0.47664887,0.6537105,0.6981987,0.60183513,0.5717673,0.6184951
51,0.4828609,0.6540082,0.69790184,0.6008155,0.57281065,0.61856705
52,0.48341504,0.65455794,0.69916594,0.60176706,0.5736227,0.6175271
53,0.47753495,0.65407693,0.6992829,0.6023509,0.5724024,0.61774623
54,0.48136312,0.6535044,0.6996403,0.6003381,0.57202005,0.6173464
55,0.48657674,0.6565506,0.70072937,0.6045349,0.5765768,0.61674446
56,0.48402542,0.657421,0.7008836,0.60675704,0.57745224,0.61672556
57,0.48757514,0.6553596,0.7016967,0.602106,0.57507914,0.6163278
58,0.47759065,0.6571461,0.7020116,0.60800517,0.5764995,0.6161355
59,0.49151367,0.6571003,0.70303845,0.60425735,0.5777362,0.6152589
60,0.4821946,0.6564361,0.7015603,0.60540175,0.575932,0.61618394
61,0.4866325,0.6569171,0.7020618,0.6051825,0.5770468,0.6159077
62,0.48530072,0.65737516,0.7024775,0.60633904,0.5774883,0.61578465
63,0.48957157,0.6567339,0.7021726,0.6040862,0.5770823,0.61597025
