,BinaryRecall,BinaryAccuracy,BinaryAUROC,BinaryPrecision,BinaryFBetaScore,Loss
0,0.7061796,0.47322494,0.51303947,0.4183197,0.45544928,0.69482756
1,0.49278918,0.5201787,0.52227324,0.42938727,0.4407267,0.6924872
2,0.2959839,0.5555428,0.5284587,0.44285345,0.4028581,0.6905372
3,0.15514757,0.5743701,0.53452903,0.4548656,0.3280937,0.6888158
4,0.072443426,0.58254695,0.5393877,0.46458656,0.22287631,0.68724895
5,0.033503633,0.5854558,0.5456235,0.4728729,0.13046189,0.6858385
6,0.0137008205,0.5869446,0.55369455,0.4946962,0.06166148,0.68443125
7,0.006379013,0.58776915,0.5606384,0.5704566,0.030501673,0.6832274
8,0.0027734942,0.58742553,0.56503475,0.5850528,0.013601437,0.6821343
9,0.00061017124,0.58699036,0.57461584,0.42,0.0030328115,0.6809862
10,0.00016638935,0.58701324,0.5779025,0.23333335,0.0008294933,0.68015456
11,5.546312e-05,0.5870362,0.581557,0.2,0.0002770083,0.67937505
12,5.546312e-05,0.58708197,0.58724093,0.1,0.0002767017,0.6784483
13,0.0,0.58708197,0.5911013,0.0,0.0,0.67773473
14,0.0,0.58708197,0.59020454,0.0,0.0,0.6772295
15,0.0,0.58708197,0.5944193,0.0,0.0,0.676629
16,0.0,0.58708197,0.59953773,0.0,0.0,0.67590904
17,0.0,0.58708197,0.6017036,0.0,0.0,0.675402
18,0.0,0.58708197,0.6037361,0.0,0.0,0.6749115
19,5.546312e-05,0.58708197,0.60739356,0.1,0.0002767017,0.674362
20,0.0,0.58708197,0.6104778,0.0,0.0,0.6739294
21,0.0,0.58708197,0.6095313,0.0,0.0,0.6735145
22,0.0,0.58708197,0.6141968,0.0,0.0,0.673021
23,0.0,0.58708197,0.6168822,0.0,0.0,0.67254466
24,0.0,0.58708197,0.6179553,0.0,0.0,0.6722278
25,0.0,0.58708197,0.62315637,0.0,0.0,0.6716571
26,0.0,0.58708197,0.6220247,0.0,0.0,0.6715033
27,0.0,0.58708197,0.6239015,0.0,0.0,0.671041
28,0.0,0.58708197,0.6246951,0.0,0.0,0.67071694
29,0.0,0.58708197,0.62725943,0.0,0.0,0.67034554
30,0.0,0.58708197,0.62807286,0.0,0.0,0.6701032
31,0.0,0.58708197,0.6300303,0.0,0.0,0.66971123
32,0.0,0.58708197,0.6326958,0.0,0.0,0.66935784
33,0.0,0.58708197,0.6336857,0.0,0.0,0.66903436
34,0.0,0.58708197,0.6352256,0.0,0.0,0.66873074
35,0.0,0.58708197,0.63429403,0.0,0.0,0.66853356
36,0.0,0.58708197,0.63745517,0.0,0.0,0.6680479
37,0.0,0.58708197,0.6392676,0.0,0.0,0.6675941
38,0.0,0.58708197,0.6394366,0.0,0.0,0.6674925
39,0.0,0.5870362,0.6414789,0.0,0.0,0.6670952
40,0.0,0.58708197,0.6403276,0.0,0.0,0.6669316
41,0.0,0.58708197,0.64485884,0.0,0.0,0.6663109
42,0.0,0.58708197,0.6446114,0.0,0.0,0.6661325
43,0.0,0.5870591,0.64380217,0.0,0.0,0.66596913
44,0.0,0.58708197,0.64551276,0.0,0.0,0.66565835
45,5.546312e-05,0.5870591,0.64549667,0.1,0.0002767017,0.66541845
46,0.0,0.58708197,0.6455015,0.0,0.0,0.6652485
47,0.0,0.5870591,0.6478866,0.0,0.0,0.66476107
48,0.00011092624,0.5871049,0.6488889,0.2,0.0005534034,0.66444176
49,5.546312e-05,0.58705914,0.64855766,0.2,0.0002770083,0.6642825
