,BinaryRecall,BinaryAccuracy,BinaryAUROC,BinaryPrecision,BinaryFBetaScore,Loss
0,0.38673142,0.5486486,0.5465408,0.44630972,0.43292934,0.688834
1,0.03744165,0.58877695,0.5769615,0.5239402,0.14475171,0.6801298
2,0.0031617053,0.58749425,0.5968582,0.5938226,0.01545424,0.6753012
3,0.0005546927,0.58701324,0.61609375,0.43904763,0.002758171,0.672006
4,0.0009984284,0.5872423,0.630308,0.58984125,0.004954912,0.6693007
5,0.0018304214,0.58749425,0.63920987,0.715,0.009048501,0.66707456
6,0.002884436,0.58754003,0.6473975,0.6125168,0.014121287,0.66488594
7,0.0055468963,0.5879523,0.65325516,0.6282807,0.026731342,0.66290855
8,0.011593038,0.58939534,0.6580378,0.6550097,0.054089148,0.660874
9,0.01980255,0.5908383,0.6630916,0.6484553,0.08818144,0.65874493
10,0.035722665,0.59372425,0.66477585,0.6477829,0.1457913,0.6569614
11,0.048868697,0.59525883,0.667093,0.6267879,0.1861507,0.655023
12,0.07244335,0.59970224,0.66677994,0.6337498,0.24832156,0.65361816
13,0.09485293,0.6032295,0.6703352,0.62990576,0.29576385,0.6517273
14,0.11254774,0.60513055,0.6714212,0.6206765,0.32588252,0.65011644
15,0.13884027,0.6097114,0.6711122,0.62358105,0.36665025,0.6488842
16,0.16197042,0.61161244,0.6714193,0.6121436,0.39319485,0.64754665
17,0.18565544,0.61584973,0.67272246,0.6156384,0.4206685,0.645966
18,0.2037952,0.61903346,0.6746487,0.6173185,0.43879652,0.64436424
19,0.22209987,0.62001836,0.67313683,0.6095636,0.45173782,0.643559
20,0.24345508,0.6238662,0.67550236,0.61189693,0.46961147,0.6422634
21,0.25943014,0.6245305,0.6754365,0.6059464,0.47799414,0.6411562
22,0.2771247,0.6286303,0.67610484,0.61089784,0.4922823,0.63999784
23,0.288441,0.6276684,0.676572,0.60262674,0.49477902,0.6391573
24,0.30192,0.630623,0.6781536,0.60571986,0.5041526,0.6379018
25,0.31284684,0.63117266,0.6779309,0.6030084,0.5085257,0.6370857
26,0.32848907,0.63321114,0.67781675,0.60260755,0.51631105,0.63658625
27,0.33370394,0.63428766,0.67933005,0.60344374,0.5193095,0.6354097
28,0.34230167,0.63508934,0.68011695,0.60229194,0.5228249,0.63465434
29,0.3559466,0.63632613,0.6814187,0.6007014,0.528014,0.63363767
30,0.36077243,0.63598263,0.680054,0.59817636,0.52858484,0.6335288
31,0.3710898,0.6367384,0.6812587,0.5967306,0.531991,0.6326469
32,0.37552714,0.6378149,0.68254125,0.5977648,0.53445554,0.6318815
33,0.38235015,0.6400367,0.68261635,0.60069484,0.5390716,0.6313245
34,0.39028302,0.63983047,0.6830718,0.59791744,0.5403265,0.6306855
35,0.39322186,0.6408154,0.68365777,0.5992061,0.5423064,0.63031715
36,0.39616272,0.6394869,0.68329453,0.59538364,0.54090035,0.6301365
37,0.3976043,0.64175445,0.6854836,0.5998432,0.54443264,0.6289231
38,0.40941852,0.6423271,0.6851124,0.5977782,0.54732907,0.6287705
39,0.4118597,0.6428081,0.6858091,0.5979413,0.5483389,0.62823546
40,0.41219252,0.6436785,0.68785983,0.59973246,0.5496864,0.6270651
41,0.4142447,0.6420293,0.6865806,0.5957041,0.54770195,0.6276013
42,0.42051324,0.6456024,0.68785757,0.60132366,0.5536704,0.62682486
43,0.42184392,0.6437013,0.6883499,0.59706306,0.55123216,0.6263458
44,0.43327063,0.6463353,0.68878335,0.59925455,0.5566004,0.6260339
45,0.43027526,0.6463582,0.6891829,0.60013574,0.55620545,0.62551457
46,0.43238324,0.6459459,0.69019544,0.5987057,0.5558804,0.62493885
47,0.43499023,0.646404,0.6902952,0.5989181,0.55693245,0.62475735
48,0.43920612,0.64789283,0.6907747,0.6007214,0.5595493,0.62448204
49,0.43765283,0.6467934,0.69105947,0.5989893,0.55783296,0.62420017
50,0.44003853,0.6486945,0.6908163,0.60204476,0.5607165,0.6243838
51,0.43892843,0.6463124,0.6907452,0.5977375,0.557366,0.6243006
52,0.44514146,0.6482135,0.6920029,0.5997443,0.5607513,0.62340355
53,0.44325447,0.6501832,0.69317806,0.6041751,0.563252,0.62279385
54,0.44613934,0.6498855,0.6945504,0.60274124,0.56319934,0.62200266
55,0.4474717,0.65034354,0.6946293,0.6034008,0.5640163,0.62191206
56,0.45013243,0.650962,0.6953607,0.60374177,0.56514245,0.62134063
57,0.44996685,0.65061843,0.6953174,0.6031378,0.564687,0.6214899
58,0.45651215,0.6516491,0.69577134,0.6034225,0.5668843,0.62106144
59,0.4571221,0.6532524,0.6964463,0.6063108,0.56913376,0.6206627
60,0.45656782,0.65316075,0.696218,0.6062571,0.5689376,0.6207837
61,0.45135432,0.65203846,0.69568837,0.6055166,0.5667743,0.6207861
62,0.46128273,0.65345854,0.69858617,0.60551137,0.56984496,0.6192484
63,0.45939717,0.6544205,0.69802856,0.6079124,0.5709726,0.6195788
64,0.461893,0.65384793,0.6990684,0.60602903,0.5704104,0.61910975
65,0.46011773,0.65586346,0.6997032,0.6105244,0.5730528,0.61861116
66,0.4613935,0.6525882,0.69911635,0.6038096,0.5686978,0.6186596
67,0.46560916,0.65618414,0.70126206,0.6096128,0.57407,0.6175973
68,0.47087878,0.656459,0.70017374,0.6085704,0.5749296,0.61818373
69,0.46200395,0.6569171,0.70149267,0.6119642,0.5746211,0.61744547
70,0.46300173,0.6561154,0.7010024,0.6101809,0.5736876,0.6176939
71,0.47071257,0.65616125,0.70081383,0.60809773,0.57453173,0.6176728
72,0.4740407,0.65776455,0.7027078,0.6101396,0.5769785,0.6165565
73,0.46904844,0.6571232,0.7028674,0.61036867,0.5756677,0.61638314
74,0.4683826,0.65677965,0.70344704,0.60990006,0.5750968,0.6160722
75,0.46927005,0.65680254,0.70405215,0.6097257,0.5752757,0.61557794
76,0.4740408,0.6591388,0.70434076,0.6128376,0.57890904,0.61546415
77,0.47248754,0.65739805,0.7041405,0.6099475,0.5763946,0.61571586
78,0.4734296,0.659345,0.7052817,0.6133359,0.5790699,0.6148398
79,0.4772025,0.659574,0.7063088,0.61271274,0.5797796,0.61424226
80,0.47603744,0.65980303,0.7069845,0.61352634,0.5800005,0.6137291
81,0.4777565,0.6596198,0.70607495,0.61261815,0.57987136,0.6142279
82,0.4712673,0.66099405,0.70650446,0.61730856,0.58125484,0.61381143
83,0.47903308,0.66062754,0.7070246,0.61423445,0.5813788,0.6137721
84,0.47903234,0.65874946,0.7070779,0.6106223,0.5788077,0.6135162
85,0.47886658,0.66223085,0.7091798,0.6173221,0.5835315,0.61232626
86,0.4799201,0.6618644,0.7092236,0.6163726,0.5831672,0.6121631
87,0.47831234,0.66193306,0.7097345,0.616893,0.5830812,0.6119052
88,0.4834146,0.6616125,0.7089438,0.6147801,0.5830797,0.61233854
89,0.4875753,0.6640861,0.71048963,0.61824477,0.5867828,0.6115297
90,0.48258305,0.6636051,0.7115997,0.6188518,0.58574474,0.6107433
91,0.4869648,0.6643151,0.7107624,0.6189091,0.58706254,0.6110772
92,0.48435777,0.66374254,0.71169037,0.61857116,0.5860537,0.61024725
93,0.48935008,0.6643609,0.71178865,0.61824834,0.5872948,0.61032265
94,0.4833595,0.66571224,0.71243584,0.6226367,0.58869016,0.61003214
95,0.49073714,0.66548336,0.7136313,0.61998165,0.5889347,0.6093806
96,0.48430285,0.66534585,0.7128135,0.6216501,0.588261,0.6098084
97,0.49001613,0.6655749,0.71339726,0.62030196,0.58896255,0.60922223
98,0.49228922,0.6659872,0.7144549,0.6204304,0.5897101,0.60858387
99,0.4912364,0.66493356,0.7145153,0.61874866,0.5881828,0.6084297
