,BinaryRecall,BinaryAccuracy,BinaryAUROC,BinaryPrecision,BinaryFBetaScore,Loss
0,0.051700134,0.5849749,0.5459212,0.47611633,0.18013415,0.6863058
1,0.00088741013,0.587082,0.5752118,0.5,0.0044028843,0.6804406
2,0.0,0.587082,0.5971113,0.0,0.0,0.6765119
3,0.0,0.587082,0.61188155,0.0,0.0,0.6737425
4,0.0,0.587082,0.6236971,0.0,0.0,0.67140377
5,0.0,0.587082,0.63277525,0.0,0.0,0.6694098
6,0.0,0.587082,0.63568294,0.0,0.0,0.6678103
7,0.0,0.587082,0.64455587,0.0,0.0,0.66607505
8,0.0,0.58699036,0.6490817,0.0,0.0,0.66434234
9,0.00022197558,0.587082,0.65100324,0.2,0.0011049724,0.66307366
10,0.00022197558,0.5868988,0.65283746,0.1,0.00110011,0.66176915
11,0.0017758047,0.5873568,0.6565689,0.46999997,0.008729087,0.65996057
12,0.0033288957,0.5874485,0.6579003,0.57,0.016103134,0.6586329
13,0.009983979,0.5892808,0.660359,0.6917703,0.046968225,0.65706325
14,0.0135348495,0.58863944,0.6610538,0.5871765,0.06176173,0.6559116
15,0.022187715,0.5885479,0.6618315,0.5698916,0.09497605,0.6546615
16,0.03460826,0.5897389,0.6622814,0.5592408,0.13673215,0.65341055
17,0.050364338,0.5915712,0.66299474,0.55883867,0.18473634,0.6522269
18,0.07011106,0.59505266,0.6648365,0.57968414,0.2358832,0.6508753
19,0.09429385,0.59770954,0.66498566,0.57971627,0.28475124,0.6497494
20,0.11648377,0.6010994,0.66584134,0.5850135,0.32383534,0.64862716
21,0.13578531,0.6024736,0.6659895,0.57974774,0.34996763,0.6475546
22,0.15708736,0.6060468,0.6670668,0.5856018,0.37839538,0.64643073
23,0.17327876,0.60797065,0.6668421,0.5855738,0.3958439,0.6456295
24,0.1872657,0.6109024,0.66806495,0.5910982,0.41271788,0.64430153
25,0.21721491,0.61346775,0.6682507,0.58645314,0.43655366,0.6437227
26,0.2292026,0.6155749,0.66884273,0.5886202,0.44789425,0.6428319
27,0.2633691,0.61777365,0.6702968,0.5826055,0.46862072,0.64170253
28,0.2789057,0.6209803,0.6703159,0.58602333,0.4800748,0.64105046
29,0.28822076,0.6202474,0.67040133,0.5814703,0.4829073,0.6402944
30,0.30063957,0.62437016,0.6705586,0.5896411,0.49407396,0.6395857
31,0.31662503,0.6262941,0.6711399,0.5880158,0.5017739,0.63886654
32,0.32460558,0.62583596,0.6719328,0.58499277,0.50399244,0.6381489
33,0.3385898,0.62821805,0.67257434,0.58619803,0.51137,0.63744754
34,0.3616602,0.6295923,0.673025,0.5834367,0.51932216,0.6369183
35,0.34147745,0.6287677,0.67297935,0.58646685,0.5128215,0.636578
36,0.35832742,0.62995875,0.6741067,0.5855339,0.51932895,0.6356996
37,0.36832002,0.62968385,0.673409,0.581586,0.52113885,0.6356192
38,0.38163066,0.63417315,0.6752927,0.5879071,0.53051543,0.63456213
39,0.3820768,0.631333,0.6752849,0.58178365,0.526651,0.6342859
40,0.37874496,0.6317911,0.6754998,0.58377725,0.52654827,0.63381577
41,0.38873833,0.6354558,0.6771521,0.5884503,0.53355324,0.6329173
42,0.39582503,0.635639,0.6771599,0.5881712,0.535474,0.6328215
43,0.40248504,0.6334402,0.67690086,0.58129674,0.5335334,0.6327423
44,0.41002998,0.6347229,0.6772494,0.5822159,0.53692156,0.63218945
45,0.41779867,0.63554746,0.6777617,0.5818092,0.53941804,0.6317621
46,0.40337247,0.6357306,0.6785561,0.58615196,0.53730655,0.6314918
47,0.41291198,0.6356391,0.6793168,0.58350945,0.5386793,0.6309271
48,0.42911324,0.63737977,0.6794168,0.58291537,0.5438259,0.6306361
49,0.4213488,0.6371965,0.6801802,0.5842813,0.5421066,0.63002825
50,0.43576318,0.63728815,0.68082577,0.5815078,0.5446932,0.6298825
51,0.42977914,0.6381127,0.68065715,0.5840106,0.544746,0.62983686
