,BinaryRecall,BinaryAccuracy,BinaryAUROC,BinaryPrecision,BinaryFBetaScore,Loss
0,0.7069561,0.49159414,0.53301346,0.42971903,0.46629018,0.69496214
1,0.3752495,0.55600095,0.5432941,0.45446363,0.43603525,0.6884538
2,0.15187481,0.58376086,0.55186397,0.48748237,0.33798346,0.68381584
3,0.050754905,0.58776915,0.55674887,0.50826967,0.18125555,0.68074256
4,0.01336815,0.58669263,0.5609131,0.48175114,0.060127825,0.67855114
5,0.0055470043,0.587334,0.56961715,0.5297347,0.02660979,0.6765962
6,0.0019414553,0.58737975,0.57121485,0.6021429,0.009576248,0.6755003
7,0.00083199295,0.5871278,0.57713056,0.58055556,0.004129154,0.6743645
8,0.00033284022,0.5870591,0.5845049,0.5,0.0016592937,0.67330086
9,0.00027734638,0.58705914,0.5857897,0.43333334,0.0013830499,0.67286766
10,5.546312e-05,0.587082,0.5930136,0.2,0.0002770083,0.67210007
11,0.00016642011,0.5871507,0.5963782,0.6,0.0008311784,0.6716279
12,5.54785e-05,0.58708197,0.5940602,0.2,0.00027708506,0.67154664
13,0.00016640473,0.5871507,0.6028493,0.6,0.0008311017,0.6706827
14,0.0,0.58703625,0.60738385,0.0,0.0,0.6702448
15,0.0,0.587082,0.60904396,0.0,0.0,0.67002094
16,5.546312e-05,0.587082,0.61220884,0.2,0.0002770083,0.6695786
17,0.0,0.587082,0.6172002,0.0,0.0,0.66906476
18,0.0,0.587082,0.61738473,0.0,0.0,0.6688897
19,0.0,0.58705914,0.6211716,0.0,0.0,0.66838753
20,0.0,0.58701324,0.62267196,0.0,0.0,0.66819346
21,0.00011092624,0.5871049,0.62372255,0.4,0.0005540166,0.6679093
22,0.000110957,0.587082,0.62757176,0.1,0.0005523336,0.6674754
23,0.0,0.58705914,0.6294333,0.0,0.0,0.6670122
24,5.546312e-05,0.587082,0.63262063,0.1,0.0002767017,0.6665958
25,5.546312e-05,0.5870591,0.63291675,0.2,0.0002770083,0.6664469
26,0.00011092624,0.58708197,0.63396084,0.2,0.0005534034,0.66621864
27,0.00027736175,0.5871507,0.63791335,0.53333336,0.0013834329,0.6656279
28,0.00033280946,0.587082,0.63743955,0.35,0.0016573069,0.6655162
29,0.000110957,0.58705914,0.64317554,0.3,0.00055386336,0.6647519
30,0.00049924495,0.5872194,0.6428201,0.6166667,0.0024876401,0.6645898
31,0.0006101712,0.5871049,0.64436704,0.61333334,0.0030373815,0.664245
32,0.00061020197,0.5872194,0.6463281,0.6666667,0.0030378434,0.66381884
33,0.00077659136,0.58719647,0.64666545,0.5083333,0.003857293,0.66364217
34,0.000776576,0.58719647,0.6487228,0.6761905,0.0038590424,0.6632061
35,0.0014422564,0.58749425,0.648266,0.74722224,0.00715119,0.6630993
36,0.0013313764,0.587082,0.65186685,0.45337996,0.0065751513,0.6625905
37,0.0013312994,0.5873111,0.65204346,0.6025641,0.0065853475,0.66221535
38,0.0023853295,0.58760875,0.6531623,0.6611112,0.011736438,0.66193295
39,0.002329728,0.58758587,0.6524523,0.70550424,0.011476047,0.6618034
40,0.0026625986,0.58776915,0.65335065,0.7276214,0.013110739,0.66151696
41,0.0031617978,0.5877234,0.6553555,0.695113,0.015489943,0.6610699
42,0.0033281874,0.5876317,0.656423,0.6015453,0.016267667,0.6607334
43,0.004215736,0.5880898,0.655479,0.7171907,0.020555317,0.6605345
44,0.0050478512,0.5881814,0.65614855,0.6875024,0.024476668,0.66034484
45,0.0055470653,0.588525,0.65633565,0.7378175,0.026877934,0.66013366
46,0.0073220856,0.5889602,0.65936196,0.7246631,0.035128873,0.6595397
47,0.006711883,0.5887769,0.65925086,0.72185147,0.032227255,0.6593355
48,0.008930747,0.5890747,0.6601442,0.685643,0.042392116,0.6589147
49,0.008875146,0.589235,0.66232234,0.7196062,0.042200215,0.65833473
50,0.009707138,0.58891433,0.6621979,0.64310443,0.045731243,0.65829784
51,0.011482358,0.58898306,0.6597791,0.6219872,0.053185977,0.6584054
52,0.013201745,0.58946407,0.6627585,0.6367675,0.060894452,0.6576628
53,0.014366748,0.58992213,0.6637611,0.651841,0.06584067,0.6573385
54,0.017584255,0.590907,0.66340375,0.6659594,0.07919039,0.6571418
55,0.019081667,0.59102154,0.66483194,0.66804063,0.085454606,0.65670586
56,0.01830506,0.59038025,0.66550636,0.64377266,0.08204092,0.6564584
57,0.022188047,0.59152544,0.6647075,0.6608618,0.097377636,0.6562144
58,0.022798326,0.5910444,0.6667255,0.63264316,0.09933798,0.6557787
59,0.026514817,0.59239584,0.66696227,0.65986246,0.11393654,0.65546745
60,0.028178787,0.5926935,0.6663257,0.656792,0.119942404,0.6554445
61,0.032616343,0.5943885,0.6654383,0.68441236,0.13669622,0.6551336
62,0.03239423,0.59322035,0.6661201,0.6474145,0.13483456,0.65491736
63,0.03666561,0.5944801,0.66669214,0.6602386,0.14976755,0.65467584
64,0.03932792,0.59475493,0.6663697,0.65651405,0.15843749,0.65443647
65,0.041879576,0.59523594,0.66805243,0.6565785,0.16658407,0.6539098
66,0.046039924,0.59594595,0.66831756,0.65200335,0.17900689,0.65361536
67,0.05092122,0.597137,0.6693107,0.65880924,0.19388084,0.6532388
68,0.050422095,0.59571695,0.6684407,0.6286688,0.19061476,0.65311587
69,0.053971935,0.59754926,0.668695,0.6539606,0.20260683,0.6528257
70,0.05791048,0.5980073,0.6679408,0.64798063,0.2129519,0.65286314
71,0.06146021,0.5983051,0.6709599,0.64143336,0.22193539,0.65219295
72,0.06340174,0.59880894,0.67128354,0.64356136,0.22717711,0.6516736
73,0.06806099,0.60041225,0.67162883,0.65539277,0.24004635,0.6513175
74,0.07260957,0.60041225,0.67008156,0.64298326,0.2495459,0.6515339
75,0.07272093,0.599519,0.6700107,0.63066787,0.24849829,0.6512931
76,0.079321526,0.6001832,0.66968983,0.62609565,0.26268864,0.6511596
77,0.08392556,0.60226744,0.6730436,0.64043653,0.2747689,0.65026116
78,0.09035982,0.60384786,0.6721124,0.6452592,0.2893375,0.65022135
79,0.090692535,0.60409987,0.671697,0.64711577,0.2902785,0.65011245
80,0.091802165,0.6030234,0.67143303,0.6341566,0.28999203,0.64994466
81,0.09929055,0.6048328,0.67258364,0.6376215,0.30551142,0.6494244
82,0.103062294,0.60572606,0.67092144,0.6402706,0.3131404,0.6494719
83,0.10500352,0.6053596,0.673617,0.6340157,0.31530243,0.6487075
84,0.10994039,0.6060926,0.67338884,0.63286364,0.32396317,0.64876086
85,0.11432276,0.60700876,0.67362946,0.63373125,0.33168128,0.6482065
86,0.11859387,0.60842884,0.6730297,0.6392937,0.34011158,0.64831173
87,0.12136753,0.60803944,0.67335224,0.6317577,0.34285048,0.64798415
88,0.1255825,0.6083142,0.67255664,0.62884206,0.34876484,0.6479489
89,0.1299096,0.6094137,0.6746569,0.63185215,0.3561197,0.64720047
90,0.13290486,0.61016953,0.6743307,0.6331369,0.3611325,0.6472241
91,0.1354564,0.60948235,0.67328674,0.62510276,0.3626043,0.64714307
92,0.14116964,0.6113605,0.6741977,0.63108104,0.37214175,0.64680994
93,0.14411,0.6101466,0.67423856,0.6196715,0.37294188,0.6466218
94,0.15276286,0.61358225,0.67450964,0.6329241,0.3885098,0.6461377
95,0.15520346,0.61392576,0.6763741,0.63240266,0.3913939,0.6457616
96,0.15586887,0.612208,0.67470473,0.6211327,0.38872716,0.6457607
97,0.16191535,0.61481905,0.6757604,0.6308637,0.39920348,0.6454074
98,0.16274783,0.61410904,0.6751455,0.62524337,0.39831263,0.6453213
