,BinaryRecall,BinaryAccuracy,BinaryAUROC,BinaryPrecision,BinaryFBetaScore,Loss
0,0.17273144,0.56209344,0.5023454,0.42539486,0.32888404,0.68874973
1,0.012536034,0.5879294,0.5320899,0.54497194,0.057385683,0.6820317
2,0.002218771,0.58742553,0.55815935,0.6150183,0.01093525,0.6778966
3,0.0011094315,0.58737975,0.58376837,0.58571434,0.0055053206,0.6746892
4,0.00055469276,0.5871736,0.60065264,0.65,0.0027633496,0.67234236
5,0.0006656497,0.5872423,0.6168872,0.6666667,0.0033111204,0.66992986
6,0.0017750353,0.58758587,0.6272479,0.74888885,0.00878415,0.6679219
7,0.0032726931,0.5878149,0.6365908,0.6925,0.016044488,0.6658442
8,0.0062679937,0.5885479,0.6454274,0.7016653,0.030232374,0.6637366
9,0.011870737,0.59024274,0.64967364,0.7400156,0.055603314,0.66194034
10,0.018970603,0.59141093,0.65336466,0.6902171,0.08540122,0.66025877
11,0.029287696,0.59370136,0.6560345,0.6884047,0.12501237,0.6585375
12,0.04465301,0.596175,0.6609951,0.6632904,0.17555228,0.65665805
13,0.06284736,0.6001145,0.66153497,0.668651,0.22772436,0.6550709
14,0.08420332,0.6029776,0.6641752,0.6473358,0.2759207,0.6534159
15,0.09868016,0.6050161,0.6651176,0.640606,0.3051495,0.6520177
16,0.12658112,0.6080165,0.66679394,0.62498534,0.34948772,0.6505286
17,0.14083727,0.6092075,0.66724765,0.61778706,0.36789584,0.6492305
18,0.16923662,0.61328447,0.66891146,0.61549413,0.4028309,0.64773554
19,0.18598852,0.6166514,0.6703014,0.6190618,0.4223001,0.6463497
20,0.20823245,0.62006414,0.6704798,0.61859214,0.44348603,0.64529693
21,0.22592688,0.6195144,0.6707603,0.60532296,0.45305032,0.6441367
22,0.24278899,0.6233394,0.6727364,0.61027235,0.46841154,0.6426407
23,0.25721094,0.6251489,0.6731637,0.6092626,0.478265,0.6415974
24,0.27368647,0.6270499,0.67384607,0.60746974,0.48810586,0.6405622
25,0.28489,0.627989,0.6747307,0.6052521,0.49407166,0.63954204
26,0.2970386,0.6284013,0.67439646,0.6013687,0.4990167,0.6389993
27,0.31229243,0.6301649,0.6757854,0.6002842,0.5067404,0.63776004
28,0.3259388,0.6323408,0.6770314,0.6010447,0.5141464,0.63684666
29,0.33653226,0.6339212,0.67616314,0.6013722,0.51956826,0.6365864
30,0.350289,0.63632613,0.6780608,0.60255843,0.52666223,0.6353554
31,0.3533395,0.6356161,0.6786167,0.59979665,0.52636147,0.63462937
32,0.36437732,0.637792,0.68023264,0.6013424,0.5320624,0.6335185
33,0.36853912,0.63589096,0.67951345,0.59543407,0.53009576,0.6333312
34,0.37070096,0.63742554,0.67971677,0.5984713,0.532936,0.63291943
35,0.3767485,0.6373569,0.67921257,0.5963045,0.5340268,0.6326405
36,0.38612154,0.63870823,0.67972386,0.59663457,0.5379339,0.632324
37,0.39155835,0.639464,0.68137455,0.59661853,0.54003537,0.6312193
38,0.3941647,0.64092994,0.6820218,0.5991001,0.5426403,0.6307711
39,0.40126514,0.64134216,0.68226117,0.5979406,0.5445446,0.6302436
40,0.40420517,0.64287674,0.6839329,0.600342,0.547223,0.62958276
41,0.41319093,0.64299136,0.6842109,0.5979722,0.54887176,0.6290824
42,0.40991798,0.6414567,0.6840162,0.5956851,0.546176,0.62902313
43,0.4147439,0.6426935,0.6847192,0.5969049,0.5486623,0.6284901
44,0.4140789,0.6427852,0.68457115,0.5973056,0.5487238,0.6283197
45,0.42345232,0.6472973,0.6863085,0.60404456,0.5565526,0.62755907
46,0.42861098,0.64661014,0.68620807,0.6011084,0.55628645,0.62734187
47,0.42938775,0.64606047,0.68557596,0.59975755,0.55566204,0.6274791
48,0.42905578,0.64761794,0.688149,0.603021,0.5577444,0.6261763
49,0.43659902,0.647366,0.6887887,0.6003955,0.5584607,0.62572736
50,0.43571144,0.6461063,0.68813765,0.59810054,0.5565916,0.6258729
51,0.43576685,0.6487632,0.68910736,0.6035383,0.56031245,0.6254145
52,0.43637687,0.6470224,0.6893103,0.5997311,0.5579325,0.6250913
53,0.4349347,0.6463353,0.68887097,0.5987767,0.5568179,0.6255113
54,0.44103676,0.6490151,0.6903926,0.6024454,0.56132966,0.6243092
55,0.445141,0.65057266,0.6915597,0.6044288,0.56403273,0.6237391
56,0.4461392,0.6504581,0.6914605,0.60388005,0.5639934,0.62359536
57,0.44630662,0.65080166,0.69312316,0.604507,0.56446177,0.6228556
58,0.44575104,0.65041226,0.69226474,0.60391915,0.5638819,0.6232685
59,0.44991174,0.65135133,0.692979,0.6045882,0.56566465,0.6225898
60,0.4529624,0.65073293,0.6936822,0.60250604,0.5651752,0.62207013
61,0.45190805,0.6515575,0.69495165,0.6044868,0.56619346,0.6217259
62,0.4558465,0.6516262,0.6948105,0.6034564,0.56672287,0.6213608
63,0.4527409,0.65428305,0.69624346,0.6095411,0.5700452,0.62082887
64,0.45190826,0.6501374,0.6941614,0.6017044,0.5642657,0.62145793
65,0.46427765,0.6532295,0.69578767,0.60429746,0.56990784,0.62097406
66,0.4585653,0.65432894,0.6960949,0.6079668,0.5707518,0.6206815
67,0.45717794,0.65407693,0.6974411,0.60788274,0.57027876,0.61985946
68,0.46155953,0.65497017,0.69786006,0.6083549,0.5719546,0.61947787
69,0.46128273,0.65462667,0.6978345,0.6077654,0.5714675,0.6195792
70,0.459064,0.6542373,0.6984802,0.6076234,0.5706514,0.6191798
71,0.462614,0.6557031,0.69976836,0.60948914,0.573089,0.61849296
72,0.46078354,0.6564361,0.7002829,0.6114715,0.57392275,0.6180312
73,0.46333513,0.6543976,0.69954556,0.6067771,0.57136196,0.61860937
74,0.46339092,0.6546725,0.69978464,0.6072543,0.57174075,0.61796397
75,0.46633005,0.65643615,0.70073843,0.609815,0.5744418,0.6175352
76,0.46965867,0.658131,0.7016669,0.61216176,0.57712317,0.617208
77,0.4697137,0.658612,0.7019191,0.61314803,0.5777934,0.6167917
78,0.466774,0.65719193,0.702322,0.6111883,0.5755368,0.6167303
79,0.47237676,0.658383,0.70286596,0.6118514,0.5777269,0.61610574
80,0.46988064,0.656711,0.703321,0.6093911,0.57519674,0.6161155
81,0.47343102,0.6599633,0.70388955,0.6145695,0.5799777,0.6154851
82,0.47442922,0.6600321,0.70436716,0.6144489,0.580156,0.61533535
83,0.47265354,0.66090244,0.70441043,0.61669666,0.581244,0.61538875
84,0.47531676,0.6618873,0.70542806,0.6177598,0.5828003,0.6145905
85,0.47331947,0.6600091,0.70569515,0.61469936,0.58003604,0.614497
86,0.4790884,0.6598488,0.7056988,0.6126997,0.5803207,0.6144095
87,0.47526082,0.6621393,0.7081216,0.61825943,0.5831503,0.61305034
