,BinaryRecall,BinaryAccuracy,BinaryAUROC,BinaryPrecision,BinaryFBetaScore,Loss
0,0.21965902,0.57001835,0.5490672,0.45679092,0.37558064,0.68468153
1,0.0010539069,0.5872652,0.5988186,0.59761906,0.005227137,0.6740066
2,0.00049924495,0.58689874,0.63054943,0.29238096,0.0024776023,0.66876835
3,0.0026070587,0.58760875,0.6468681,0.671027,0.012831527,0.6645817
4,0.012591866,0.5898305,0.65785944,0.68474483,0.058443595,0.6605568
5,0.03344791,0.5928539,0.66167134,0.6321065,0.13795288,0.6573537
6,0.06684028,0.5980531,0.6642474,0.6249836,0.23383856,0.65431416
7,0.11249278,0.60412276,0.6668705,0.6126901,0.32327294,0.651215
8,0.15714452,0.6121622,0.67009574,0.6197484,0.38983372,0.6482439
9,0.19469807,0.6152772,0.6714163,0.60649925,0.4260049,0.6455306
10,0.23424669,0.6223316,0.67368925,0.6113569,0.46236378,0.6431484
11,0.26148215,0.62469083,0.67253023,0.6055931,0.4792621,0.64170045
12,0.2826716,0.6257673,0.6736863,0.5995029,0.4894871,0.6396472
13,0.3200574,0.6303481,0.6747891,0.59794825,0.509444,0.6381036
14,0.32715848,0.6283325,0.6746459,0.5902317,0.50834924,0.63702357
15,0.3460734,0.63371503,0.6783482,0.5975223,0.52159685,0.63490224
16,0.36754015,0.6369675,0.67874134,0.59836537,0.5315265,0.63385993
17,0.3714786,0.6346084,0.6797552,0.5916026,0.52888155,0.6325198
18,0.38323802,0.6383875,0.6821389,0.5968084,0.5368839,0.6310316
19,0.40359464,0.6404489,0.681646,0.59529895,0.543581,0.63077486
20,0.4014864,0.63976175,0.68259966,0.5944413,0.5422957,0.6298888
21,0.40903106,0.6396702,0.6829463,0.59221107,0.5434631,0.6293424
22,0.4167406,0.64358675,0.68503046,0.5982502,0.55026025,0.6283141
23,0.41990227,0.6426019,0.685104,0.595367,0.54941,0.6278673
24,0.4258936,0.64569396,0.68667376,0.60003394,0.55464643,0.6269053
25,0.4321065,0.6473431,0.6888467,0.60166126,0.5577866,0.6258372
