,BinaryRecall,BinaryAccuracy,BinaryAUROC,BinaryPrecision,BinaryFBetaScore,Loss
0,0.53538716,0.5325699,0.55037826,0.4450659,0.46054906,0.69099236
1,0.18460986,0.5810353,0.55924547,0.4805692,0.36350402,0.6857388
2,0.041713692,0.5905635,0.56808436,0.554848,0.16006908,0.68187654
3,0.008432857,0.5876317,0.5747105,0.5355556,0.039407134,0.67932034
4,0.0008876563,0.587082,0.580783,0.4,0.004399231,0.6771701
5,0.00022197558,0.58699036,0.588189,0.2,0.0011049724,0.6754718
6,0.0,0.587082,0.5936977,0.0,0.0,0.6743487
7,0.0,0.587082,0.5974585,0.0,0.0,0.67352754
8,0.0,0.587082,0.60181934,0.0,0.0,0.67270803
9,0.0,0.587082,0.604828,0.0,0.0,0.6721443
10,0.0,0.587082,0.6101939,0.0,0.0,0.67147195
11,0.0,0.587082,0.6135002,0.0,0.0,0.671012
12,0.0,0.587082,0.6175214,0.0,0.0,0.6705019
13,0.0,0.587082,0.61894476,0.0,0.0,0.670238
14,0.0,0.587082,0.6221912,0.0,0.0,0.66977274
15,0.0,0.587082,0.6254191,0.0,0.0,0.669356
16,0.0,0.587082,0.62916565,0.0,0.0,0.66888297
17,0.0,0.587082,0.63204414,0.0,0.0,0.66847163
18,0.0,0.587082,0.6353818,0.0,0.0,0.66799694
19,0.0,0.587082,0.6370241,0.0,0.0,0.6677659
20,0.0,0.587082,0.63867176,0.0,0.0,0.6673727
21,0.0,0.587082,0.64218515,0.0,0.0,0.6669489
22,0.0,0.587082,0.64273244,0.0,0.0,0.6666788
23,0.0,0.587082,0.64515275,0.0,0.0,0.66619074
24,0.0,0.587082,0.64726835,0.0,0.0,0.6658896
25,0.0,0.587082,0.64839196,0.0,0.0,0.66550237
26,0.0,0.587082,0.64952785,0.0,0.0,0.66527706
27,0.0,0.587082,0.65158665,0.0,0.0,0.6648873
28,0.0,0.587082,0.6536385,0.0,0.0,0.66452634
29,0.0,0.587082,0.6543592,0.0,0.0,0.6641657
30,0.0,0.587082,0.6563985,0.0,0.0,0.6638039
31,0.0,0.587082,0.65592444,0.0,0.0,0.66353863
32,0.0,0.587082,0.65818036,0.0,0.0,0.6630913
33,0.0,0.587082,0.6586424,0.0,0.0,0.66285527
34,0.0,0.587082,0.65988684,0.0,0.0,0.6624703
35,0.0,0.587082,0.6611346,0.0,0.0,0.66214514
36,0.00022197558,0.58717364,0.6615411,0.2,0.0011049724,0.6617437
37,0.0,0.587082,0.662245,0.0,0.0,0.6615709
38,0.00022197558,0.58717364,0.66320103,0.2,0.0011049724,0.6611072
39,0.0,0.587082,0.6644176,0.0,0.0,0.66086656
40,0.00022197558,0.58717364,0.66398954,0.2,0.0011049724,0.66059405
41,0.00044395117,0.5872652,0.6663779,0.4,0.0022099449,0.6600431
42,0.00088741013,0.58735687,0.66607463,0.5,0.0044028847,0.65982246
43,0.0008876563,0.5874484,0.6664493,0.8,0.00441867,0.6594995
44,0.0017750666,0.58754003,0.6667018,0.6,0.008768367,0.6593003
45,0.001997042,0.5877234,0.66770047,0.65,0.009854174,0.6589085
46,0.0022190176,0.58754003,0.6672963,0.5466667,0.010892412,0.65872365
47,0.0022190176,0.5875401,0.6681143,0.5866667,0.010882941,0.6583908
48,0.0035496405,0.58790654,0.66930044,0.6533333,0.01734464,0.6578148
49,0.0037726003,0.58790654,0.67015415,0.62777776,0.01834775,0.65768176
50,0.0055476674,0.58863944,0.66981304,0.73839825,0.026827324,0.6575228
51,0.00665656,0.5887311,0.67036,0.7071429,0.031812802,0.6570786
52,0.008431135,0.5889143,0.6709552,0.66833335,0.039880015,0.6568316
53,0.007101004,0.58863944,0.671414,0.67833334,0.033534303,0.6564352
54,0.009319775,0.58946407,0.6705987,0.6881111,0.043474305,0.6563278
55,0.011317064,0.59010535,0.6715962,0.7337762,0.05302264,0.65578884
56,0.01198299,0.59010535,0.6723436,0.7090789,0.055529796,0.6555331
57,0.013536081,0.5900138,0.6722149,0.6688078,0.062052466,0.6554523
58,0.014643744,0.59019697,0.6730329,0.68434346,0.06705232,0.654867
59,0.0166398,0.59028864,0.67274284,0.6655411,0.07423206,0.6547614
60,0.020190671,0.5911132,0.6732,0.6668697,0.08932487,0.6543077
61,0.020190919,0.5912964,0.67298865,0.6787608,0.08956338,0.65426755
62,0.025736863,0.5916629,0.6742121,0.64664286,0.10997901,0.65361965
63,0.02773489,0.5923958,0.67409337,0.6666072,0.11690483,0.6535108
64,0.031728484,0.5938617,0.6738771,0.67471635,0.13258122,0.6533506
65,0.031950455,0.59322035,0.6747824,0.6566862,0.13234305,0.65280795
66,0.029289458,0.59294546,0.67538446,0.6654843,0.12248348,0.65247583
67,0.03860874,0.5946862,0.6756688,0.6662596,0.15370628,0.6520937
68,0.04393271,0.59569407,0.6748333,0.65453357,0.17168036,0.652146
69,0.048368774,0.5965185,0.6752812,0.6564958,0.18579742,0.65176696
70,0.04726308,0.5962437,0.6750384,0.65594196,0.18230347,0.65166605
71,0.06301326,0.6001832,0.67570615,0.66813624,0.2269058,0.65119976
72,0.059687812,0.5989006,0.67609805,0.65608436,0.2185069,0.6509141
73,0.052581884,0.59679335,0.6760778,0.6471565,0.1968741,0.650766
74,0.07055722,0.60137427,0.6764775,0.66543305,0.24643767,0.6502503
75,0.07766119,0.6027485,0.6759062,0.6603163,0.26198626,0.6504077
76,0.079430595,0.60238206,0.67733365,0.6540036,0.26701087,0.64962375
77,0.079881184,0.6027485,0.6774742,0.6572787,0.26705775,0.64946353
78,0.077881925,0.6020156,0.6773499,0.65485656,0.26167136,0.64923084
79,0.09119234,0.6038479,0.67759913,0.644956,0.29067463,0.6487997
80,0.09185754,0.6037563,0.6769856,0.64227057,0.29124317,0.6488317
81,0.09563087,0.6037563,0.6776,0.6344682,0.2974118,0.64846456
82,0.10162027,0.6045808,0.6775219,0.6316647,0.30882826,0.6479558
83,0.099182725,0.60439765,0.67868817,0.6329772,0.3039353,0.64774084
84,0.11293439,0.60714614,0.6783373,0.63831556,0.3304015,0.6476197
85,0.12003982,0.6065048,0.6782271,0.62295115,0.33648834,0.64731246
86,0.117815636,0.60897845,0.6782387,0.64505845,0.3378543,0.6471275
87,0.13290356,0.61062753,0.67817825,0.63531476,0.35895097,0.64681697
88,0.118260816,0.6085204,0.67903554,0.6391303,0.339357,0.6467023
89,0.1253628,0.60907006,0.67836654,0.6380344,0.3496812,0.64619124
90,0.13778111,0.6103527,0.6787184,0.62803787,0.366049,0.6461889
91,0.13668257,0.6096198,0.67969704,0.62540203,0.3637575,0.6457643
92,0.13378975,0.6102611,0.6786971,0.63377976,0.36207542,0.64563245
93,0.14976534,0.6124599,0.679029,0.63087094,0.38193947,0.6455384
94,0.15509129,0.61300963,0.67941695,0.6267962,0.3895657,0.645161
95,0.15930907,0.61310124,0.67920464,0.6238906,0.39366883,0.64473116
96,0.167296,0.61603296,0.6793761,0.6323476,0.40570623,0.64455855
97,0.17505826,0.6163994,0.6793081,0.6266763,0.41301998,0.64455175
98,0.167517,0.61328447,0.6795369,0.61768264,0.40035182,0.64418334
99,0.18016961,0.6168575,0.67953736,0.62574285,0.4175941,0.6439296
