,BinaryRecall,BinaryAccuracy,BinaryAUROC,BinaryPrecision,BinaryFBetaScore,Loss
0,0.0006656807,0.587082,0.56931376,0.5,0.0033088352,0.6809362
1,0.0,0.587082,0.601256,0.0,0.0,0.67465883
2,0.0,0.587082,0.6235326,0.0,0.0,0.67065704
3,0.0,0.587082,0.63935405,0.0,0.0,0.667177
4,0.0,0.5869904,0.64792335,0.0,0.0,0.66424125
5,0.00044395117,0.58680713,0.6526311,0.4,0.0022099449,0.66140825
6,0.004659765,0.5876317,0.6567894,0.6750001,0.022526843,0.65884465
7,0.016862761,0.5890976,0.6598636,0.6184925,0.07539132,0.6562468
8,0.04415493,0.5918461,0.66240895,0.5803761,0.16860074,0.6539301
9,0.06855895,0.5934952,0.66332835,0.5672861,0.23043697,0.6513065
10,0.11758824,0.60128266,0.6656187,0.59177166,0.32487503,0.64900047
11,0.1604219,0.6052222,0.6663868,0.57959664,0.38005358,0.6472092
12,0.18614744,0.6087037,0.66757995,0.58276784,0.40776482,0.6451363
13,0.23562661,0.61401737,0.6688979,0.5852932,0.44789124,0.6431243
14,0.26781034,0.6209803,0.6703142,0.5907488,0.4752407,0.6415962
15,0.28911385,0.6219881,0.67119724,0.58627045,0.48581076,0.6401894
16,0.30242056,0.62446177,0.6709311,0.58891577,0.49480867,0.6389127
17,0.3448041,0.6278516,0.6716342,0.5837571,0.5124077,0.63762015
18,0.3629936,0.6284013,0.67303735,0.5803235,0.51797384,0.6366323
19,0.3709783,0.63032526,0.6742134,0.5808848,0.52097213,0.63540196
20,0.37519658,0.63023365,0.6750566,0.58124083,0.5236409,0.6345653
21,0.3853981,0.6334402,0.6765512,0.58565027,0.5304163,0.63352
22,0.41447687,0.63371503,0.6771884,0.57931644,0.5362083,0.63259983
23,0.40203643,0.6334402,0.6782572,0.58096755,0.5332917,0.6319932
24,0.43399572,0.6356391,0.67911065,0.5779849,0.54178226,0.63121307
25,0.43622413,0.6371965,0.67930853,0.58055764,0.5439041,0.6309371
26,0.43554983,0.638754,0.68059266,0.5841384,0.5467433,0.6300303
27,0.44353646,0.64021987,0.6809585,0.5855168,0.5497955,0.6297188
28,0.4384281,0.6394869,0.6822902,0.58450097,0.5479356,0.62924844
29,0.4442056,0.63912046,0.68307495,0.58229196,0.548085,0.6280781
30,0.43376714,0.6369217,0.68312705,0.5816429,0.54420346,0.6281263
31,0.44330764,0.6425103,0.684329,0.58889526,0.5523111,0.6277195
32,0.45640048,0.6404947,0.68437433,0.5823578,0.5518437,0.6270555
33,0.45262963,0.6445259,0.68610287,0.5908937,0.5567497,0.62644166
34,0.44775304,0.6437013,0.6860964,0.5905127,0.5549584,0.62636745
35,0.4708282,0.64397615,0.68679976,0.58574206,0.5584366,0.6259376
36,0.46106368,0.6425103,0.68680537,0.58463526,0.5545374,0.6258548
37,0.4741583,0.6471828,0.6875819,0.59087265,0.5630166,0.6252318
38,0.4743832,0.64599174,0.68909174,0.58818424,0.56092966,0.6244062
39,0.46239805,0.64498395,0.6895928,0.5892118,0.5583447,0.623935
40,0.4599575,0.6448008,0.6897534,0.5891873,0.5572804,0.62400377
41,0.45972472,0.6469079,0.69067323,0.5937192,0.56077296,0.6235115
42,0.46816054,0.64562523,0.690348,0.58874387,0.5596979,0.62343377
43,0.47904325,0.65011454,0.69189954,0.5946408,0.5669469,0.622654
44,0.46550494,0.64699954,0.69220394,0.59276664,0.56175137,0.62261486
45,0.48503143,0.647366,0.6923495,0.588442,0.5641753,0.6225322
46,0.48280573,0.6498397,0.69308573,0.59322274,0.5671542,0.6220054
47,0.47414428,0.65103066,0.69392586,0.59806603,0.567996,0.6215804
48,0.47970158,0.6514888,0.6938404,0.59711206,0.5691105,0.62158
49,0.478366,0.65130556,0.69452596,0.5971216,0.56868804,0.62137806
50,0.48880473,0.6503894,0.6950255,0.5927565,0.5682373,0.62096536
51,0.48902822,0.65029776,0.69542897,0.5925151,0.56807184,0.62057376
52,0.48126054,0.65231335,0.69672495,0.59796274,0.57010096,0.6198672
53,0.47903663,0.65103066,0.6959793,0.59603626,0.5680704,0.6202657
54,0.47859192,0.65029776,0.69626576,0.595295,0.5672981,0.6200316
55,0.49989343,0.65203846,0.6969553,0.59312683,0.57170427,0.61940163
56,0.49678087,0.65213007,0.69781226,0.59460986,0.57198054,0.6193123
57,0.49657068,0.65231335,0.6974584,0.5944727,0.57141536,0.61911446
58,0.47682127,0.6509391,0.6974888,0.5967019,0.5678278,0.6195249
59,0.4834803,0.6527714,0.69794023,0.5985208,0.57115126,0.61889064
60,0.49190503,0.6538708,0.6992315,0.5984366,0.5734019,0.61814815
61,0.49945074,0.6545121,0.6986314,0.5979587,0.57514906,0.61847746
62,0.5003384,0.65524507,0.699422,0.5991615,0.57586664,0.6180584
63,0.5038878,0.6537792,0.6996601,0.59511936,0.5740916,0.6176545
64,0.51077026,0.6557032,0.70111424,0.5970727,0.57734746,0.6169829
65,0.50167096,0.65661937,0.7010106,0.6009468,0.5777675,0.6170718
66,0.4879085,0.65606964,0.7002681,0.6034655,0.57585305,0.6174555
67,0.50011563,0.65680254,0.7014866,0.60139334,0.5778237,0.6166455
68,0.500564,0.65652776,0.7014411,0.6011251,0.57747996,0.61665976
69,0.49611863,0.6568942,0.7023832,0.603179,0.57762444,0.61616546
70,0.48835516,0.65515345,0.70128995,0.6016858,0.5749178,0.6168216
71,0.48812652,0.6557948,0.7020453,0.60280126,0.5756952,0.6161025
72,0.49145713,0.6588181,0.70199764,0.6072714,0.5796908,0.61641204
73,0.4963428,0.65634453,0.70205104,0.6017072,0.57711965,0.61613834
74,0.48790973,0.65826845,0.7026752,0.6072267,0.5787858,0.6158066
75,0.5154194,0.6575355,0.7039179,0.59889376,0.57985675,0.6152774
76,0.49567962,0.65762717,0.7031858,0.60499537,0.5790986,0.6158315
77,0.5003421,0.65836006,0.70341194,0.6041969,0.57991457,0.61535776
78,0.50587815,0.656711,0.7041554,0.5999392,0.57830524,0.6148989
79,0.48214597,0.659551,0.7036775,0.61118555,0.58000886,0.6153554
80,0.4963406,0.65680254,0.7048452,0.60245746,0.5776893,0.61453617
81,0.5065461,0.6596427,0.7045361,0.6051792,0.58217967,0.6145996
82,0.51165104,0.6585433,0.7035989,0.60171926,0.5810038,0.61512023
83,0.4996717,0.6584517,0.7046529,0.60451716,0.58002836,0.614494
84,0.509213,0.6584517,0.7045848,0.6020531,0.58055675,0.6145814
85,0.5041188,0.6586349,0.7055543,0.6041935,0.5806743,0.61418647
86,0.50632656,0.65900135,0.70538646,0.60358685,0.58083856,0.614093
87,0.49634185,0.66037565,0.7058097,0.60880286,0.5823349,0.61403656
88,0.49744457,0.6590014,0.7057799,0.60622996,0.58059955,0.6140666
89,0.49012622,0.659093,0.7066662,0.6085509,0.5803401,0.61320174
90,0.5072206,0.65927625,0.7066643,0.60423136,0.581659,0.6132641
91,0.51343715,0.66202474,0.7067376,0.60764587,0.58577687,0.6133319
