,BinaryRecall,BinaryAccuracy,BinaryAUROC,BinaryPrecision,BinaryFBetaScore,Loss
0,0.006434585,0.5874485,0.58004177,0.5387302,0.030659948,0.6782268
1,0.0011091396,0.58717364,0.61759126,0.5,0.0054826327,0.6715496
2,0.0031054434,0.58808976,0.6369549,0.8547619,0.01521536,0.6672311
3,0.008874347,0.5893724,0.65089107,0.7268254,0.04198168,0.66315633
4,0.027735382,0.5926706,0.65765077,0.66288775,0.11862391,0.6596149
5,0.05990117,0.5951443,0.66234034,0.5941291,0.21091112,0.6562603
6,0.10184373,0.60192394,0.6651821,0.60823154,0.30458495,0.6528287
7,0.14422753,0.6076959,0.6667253,0.60516727,0.3681807,0.6504015
8,0.1901457,0.6138342,0.6683008,0.6036854,0.42039528,0.6476047
9,0.23408583,0.6188731,0.6691108,0.59882516,0.45606804,0.6454994
10,0.26115155,0.6225378,0.67077506,0.59836775,0.4752925,0.6432615
11,0.29288226,0.62546957,0.6716568,0.5938971,0.4916212,0.6411774
12,0.3281584,0.6288594,0.6732097,0.5912626,0.5091145,0.6393526
13,0.33348387,0.6307834,0.67333543,0.5939439,0.51343334,0.6382257
14,0.36032718,0.63096654,0.6747842,0.58678436,0.52078116,0.6368269
15,0.37741584,0.6343564,0.6757338,0.58929574,0.5297459,0.6355403
16,0.39295018,0.6380211,0.6749513,0.5927888,0.5378541,0.6349293
17,0.3896176,0.63508934,0.67697144,0.5871239,0.53254646,0.633631
18,0.41358653,0.6385707,0.6776334,0.5888374,0.54266995,0.6325596
19,0.41536826,0.64141095,0.67855,0.5947452,0.546771,0.6320397
20,0.42422834,0.63829595,0.67863446,0.5857141,0.543963,0.631615
21,0.40892872,0.63838756,0.6791229,0.58927566,0.5410843,0.63098323
22,0.4200135,0.6388456,0.67956275,0.58780414,0.54412127,0.63083667
23,0.43133646,0.64021987,0.68111086,0.5878531,0.5477386,0.62961966
24,0.43154564,0.6408612,0.681361,0.5888963,0.5487709,0.6292089
25,0.44575873,0.640678,0.6824031,0.58529365,0.55052376,0.62888837
26,0.45906296,0.64214385,0.683841,0.58494955,0.5544895,0.62811106
27,0.4597326,0.64214385,0.683652,0.5848595,0.5544032,0.62805426
28,0.4453071,0.64315164,0.68371266,0.5900413,0.5539095,0.6277168
29,0.45884618,0.6456253,0.68422484,0.591371,0.5589588,0.6273614
30,0.43910187,0.6437014,0.68572456,0.59259427,0.5536706,0.626528
31,0.4408713,0.6434264,0.6855725,0.5918695,0.55327237,0.6265702
32,0.46328273,0.64590013,0.68594676,0.5911735,0.5600556,0.6264771
33,0.46107158,0.645442,0.68640673,0.5906303,0.5588719,0.62585783
34,0.46972004,0.64644986,0.6879009,0.5905364,0.5614816,0.6252113
35,0.46705288,0.64718276,0.6874627,0.5922816,0.56194764,0.6253419
36,0.4663847,0.64672464,0.68854725,0.5915951,0.5612419,0.6247649
37,0.4484121,0.646175,0.68886644,0.5950599,0.5585022,0.624492
38,0.46416768,0.6463582,0.68938166,0.5915998,0.5607692,0.6241838
39,0.47837192,0.64910674,0.68965137,0.59311104,0.56591845,0.62414014
40,0.47593242,0.64699954,0.6893037,0.5898975,0.5628109,0.62418544
41,0.46749783,0.64809895,0.690086,0.5939139,0.5632675,0.6238893
42,0.47127408,0.6503894,0.69187766,0.5972108,0.56670946,0.6228195
43,0.47548866,0.6489235,0.69189894,0.59356666,0.565396,0.6226999
44,0.4570652,0.6493815,0.69165313,0.59887624,0.5638584,0.62272507
45,0.47483382,0.6506642,0.69179887,0.59741485,0.5671659,0.62260145
46,0.47304496,0.6465415,0.69169885,0.5896302,0.56148547,0.6228727
47,0.4666114,0.64837384,0.6922177,0.5945288,0.56338084,0.62234056
48,0.48590675,0.6483738,0.6927741,0.59003663,0.56573266,0.621976
49,0.478364,0.6504809,0.6933085,0.5956744,0.56758225,0.6214362
50,0.4619511,0.6495648,0.69368136,0.59793615,0.5646452,0.62131035
51,0.48014846,0.6502062,0.69322795,0.5947684,0.567529,0.621637
52,0.4766037,0.650481,0.6939891,0.5964958,0.5675499,0.62143916
53,0.4763783,0.6507558,0.69508904,0.5970342,0.5679086,0.6206816
54,0.47348747,0.6514888,0.69591045,0.5984013,0.5681507,0.62017024
55,0.46616203,0.6493815,0.69680816,0.5965781,0.5648434,0.61949974
56,0.47858796,0.6480073,0.6948815,0.59129035,0.5645999,0.6206888
57,0.4992248,0.65194684,0.69513714,0.59347284,0.57178676,0.6205398
58,0.49100652,0.65158033,0.6956253,0.5948398,0.57054645,0.62014455
59,0.4721571,0.64928997,0.69687086,0.59496087,0.56535083,0.61943495
60,0.47837314,0.6490151,0.69743997,0.5932841,0.56582886,0.618881
61,0.49146676,0.6526798,0.6968626,0.5967071,0.5718819,0.6193811
62,0.49434623,0.6514888,0.6980524,0.59382385,0.57071906,0.6185607
63,0.49545416,0.6503893,0.6977603,0.59161204,0.5693985,0.6188375
64,0.4792561,0.6522217,0.69776374,0.598586,0.5700506,0.6186406
65,0.4668277,0.64956486,0.6976482,0.5968766,0.5652273,0.61869204
66,0.48569363,0.6493815,0.69746035,0.5922874,0.5672057,0.61896545
67,0.49034452,0.651672,0.69891274,0.59511095,0.5705337,0.6181585
68,0.48324698,0.6549703,0.6988218,0.60261714,0.5740862,0.6182265
69,0.50365984,0.6549703,0.7005917,0.5975544,0.5760647,0.6171173
70,0.49145937,0.65313786,0.69928813,0.5972471,0.57255465,0.61770135
71,0.48879737,0.65084743,0.6992804,0.59412444,0.5694001,0.6175946
72,0.4945685,0.65332115,0.69896996,0.59687257,0.573039,0.6179427
73,0.49612254,0.65222174,0.6995279,0.5947346,0.57177836,0.61745
74,0.4930181,0.6548786,0.7006211,0.6003027,0.5750319,0.6170146
75,0.49744162,0.6507558,0.7010814,0.59180456,0.56980884,0.6166737
