,MulticlassAccuracy,Loss
0,0.65221035,1.0123581
1,0.7549108,0.7232502
2,0.78288054,0.64170873
3,0.7990266,0.5850108
4,0.8128186,0.5418971
5,0.81835365,0.5271192
6,0.8309938,0.4900764
7,0.8375031,0.47190002
8,0.84318775,0.46098292
9,0.844724,0.44441345
10,0.85485005,0.42214912
11,0.85698444,0.4134292
12,0.862676,0.4005052
13,0.864656,0.3871474
14,0.8669635,0.37801656
15,0.86769605,0.38403404
16,0.87521434,0.35823193
17,0.87531996,0.35221675
18,0.8782855,0.3479086
19,0.8825651,0.33341342
20,0.886818,0.32524636
21,0.88663405,0.3250809
22,0.88756067,0.31836653
23,0.88855016,0.31626117
24,0.89302135,0.30868483
25,0.8939274,0.30396736
26,0.8962021,0.2943532
27,0.8993548,0.2836826
28,0.90065473,0.2847047
29,0.9029411,0.27875942
30,0.90283763,0.276664
31,0.9051217,0.26923242
32,0.9037528,0.27325764
33,0.9086643,0.26304504
34,0.9088926,0.26109597
35,0.91032517,0.25600627
36,0.9097198,0.2547471
37,0.9119135,0.24868134
38,0.91209334,0.24921632
39,0.9149723,0.24053994
40,0.914719,0.23973283
41,0.91474175,0.23941354
42,0.9197109,0.23256917
43,0.9155382,0.24532896
44,0.90408677,0.28333244
45,0.91655254,0.2383499
46,0.91811657,0.2334446
47,0.91909313,0.22619425
48,0.92058814,0.22534212
49,0.92109555,0.22113617
50,0.9211897,0.21818385
51,0.9223346,0.21872069
52,0.92360187,0.21420027
53,0.9236863,0.21482362
54,0.9281866,0.20572735
55,0.92725325,0.20690137
56,0.9273643,0.2059583
57,0.9297334,0.19820002
58,0.92786366,0.19963852
59,0.9304962,0.19230966
60,0.9299065,0.19909571
61,0.92847526,0.20323229
62,0.932017,0.19195905
63,0.9321846,0.19198702
64,0.93313324,0.18797487
65,0.9314465,0.1911371
66,0.9325631,0.19111541
67,0.93618476,0.18012352
68,0.93484825,0.18452851
69,0.9336059,0.18461438
70,0.9344809,0.18764818
71,0.935352,0.18201378
72,0.9374293,0.1774491
73,0.9366681,0.17739628
74,0.9378758,0.1766496
75,0.9378396,0.1738009
76,0.9374999,0.1746199
77,0.9384506,0.1733365
78,0.9369765,0.17513388
79,0.93842435,0.17276798
80,0.9375224,0.17567676
81,0.941895,0.16671686
82,0.93942916,0.17083366
83,0.9393328,0.17149675
84,0.9404749,0.17108798
85,0.93955237,0.1680405
86,0.9399514,0.1664935
87,0.93863046,0.17298985
88,0.9410555,0.16650702
89,0.9410931,0.16328727
90,0.94336724,0.16136934
91,0.9422769,0.16270638
92,0.94371504,0.16068682
93,0.9430845,0.16048971
94,0.94221276,0.16195403
95,0.9446005,0.15758842
96,0.94725335,0.15405267
97,0.9438766,0.15934291
98,0.9471075,0.15002337
99,0.94603026,0.15297854
