,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,epoch_loss
0,0.473,0.59,0.404,0.438,0.116,0.205,0.606,0.289,0.413,0.243,1.8144706391906738
1,0.21,0.29,0.312,0.336,0.275,0.463,0.458,0.485,0.599,0.344,1.7544627339172363
2,0.481,0.423,0.402,0.329,0.431,0.387,0.601,0.302,0.324,0.205,1.7390615179443358
3,0.525,0.18,0.392,0.477,0.435,0.244,0.515,0.379,0.374,0.427,1.7314706616210938
4,0.375,0.489,0.413,0.252,0.49,0.404,0.505,0.459,0.241,0.273,1.7245617514038085
5,0.462,0.334,0.467,0.208,0.289,0.336,0.56,0.296,0.532,0.348,1.714882019958496
6,0.323,0.443,0.345,0.27,0.466,0.302,0.47,0.429,0.576,0.278,1.7149988270568848
7,0.423,0.444,0.397,0.553,0.234,0.259,0.571,0.282,0.41,0.348,1.7114519816589355
8,0.559,0.397,0.265,0.257,0.454,0.408,0.586,0.354,0.278,0.427,1.7084013549804689
9,0.59,0.5,0.396,0.249,0.192,0.408,0.62,0.367,0.32,0.252,1.7053963580322267
10,0.433,0.498,0.441,0.183,0.372,0.386,0.39,0.468,0.371,0.404,1.704183119354248
11,0.644,0.556,0.312,0.172,0.419,0.368,0.428,0.404,0.339,0.326,1.7073147470092773
12,0.4,0.426,0.274,0.188,0.571,0.48,0.563,0.327,0.459,0.238,1.706939443511963
13,0.521,0.472,0.458,0.252,0.363,0.239,0.604,0.419,0.444,0.292,1.696951003112793
14,0.553,0.436,0.407,0.472,0.321,0.273,0.502,0.304,0.392,0.365,1.7057814831542968
15,0.663,0.447,0.326,0.176,0.447,0.404,0.531,0.442,0.351,0.332,1.7068652111816407
16,0.538,0.29,0.41,0.25,0.348,0.415,0.61,0.332,0.368,0.301,1.6991603025817872
17,0.551,0.345,0.361,0.272,0.332,0.391,0.537,0.43,0.346,0.428,1.7010210946655273
18,0.663,0.37,0.354,0.214,0.375,0.554,0.535,0.353,0.313,0.288,1.7031620806884766
19,0.407,0.268,0.255,0.209,0.534,0.379,0.556,0.446,0.558,0.456,1.6944796577453614
20,0.615,0.394,0.258,0.303,0.469,0.359,0.661,0.232,0.265,0.455,1.6979519799804688
21,0.528,0.485,0.348,0.189,0.467,0.456,0.432,0.28,0.38,0.333,1.6992040473937988
22,0.462,0.438,0.307,0.213,0.406,0.583,0.427,0.35,0.468,0.28,1.6980379135131836
23,0.403,0.406,0.356,0.326,0.538,0.224,0.541,0.313,0.543,0.299,1.69446080078125
24,0.513,0.509,0.336,0.336,0.539,0.391,0.443,0.45,0.357,0.228,1.6974456953430175
25,0.372,0.408,0.431,0.114,0.453,0.5,0.583,0.375,0.474,0.171,1.6980911291503906
26,0.433,0.429,0.437,0.358,0.373,0.286,0.593,0.45,0.318,0.362,1.6941271757507324
27,0.591,0.359,0.385,0.162,0.43,0.384,0.553,0.335,0.422,0.345,1.6924402146911621
28,0.582,0.482,0.275,0.344,0.477,0.439,0.488,0.318,0.327,0.292,1.6928399404907226
29,0.436,0.475,0.424,0.336,0.345,0.34,0.548,0.328,0.43,0.364,1.696063662261963
30,0.641,0.369,0.317,0.287,0.449,0.372,0.551,0.293,0.369,0.439,1.6912404809570312
31,0.63,0.548,0.316,0.385,0.357,0.238,0.582,0.399,0.378,0.239,1.694438794403076
32,0.653,0.539,0.378,0.246,0.477,0.321,0.423,0.343,0.241,0.327,1.6930877777099609
33,0.602,0.51,0.312,0.193,0.511,0.424,0.406,0.45,0.208,0.3,1.6952422247314454
