,MulticlassAccuracy,Loss
0,0.55957717,1.2553985
1,0.72057295,0.800822
2,0.76014674,0.69110584
3,0.78314114,0.6192511
4,0.79916406,0.5697152
5,0.81241465,0.5325707
6,0.8242365,0.50321305
7,0.83197963,0.47607
8,0.84072626,0.45172426
9,0.8468885,0.43438572
10,0.8536696,0.41150308
11,0.8610949,0.391856
12,0.86695606,0.37611547
13,0.8679152,0.36422452
14,0.87598634,0.35027277
15,0.8832831,0.33157566
16,0.8833675,0.32535183
17,0.8895061,0.30971292
18,0.8905263,0.30524832
19,0.89426893,0.29648277
20,0.8997469,0.2841215
21,0.9023793,0.2743893
22,0.9056875,0.26253775
23,0.9086058,0.25422183
24,0.91163135,0.24537414
25,0.9159273,0.23405465
26,0.91639185,0.23152147
27,0.9184972,0.22517623
28,0.9236199,0.21683654
29,0.92479277,0.2101839
30,0.9258579,0.20643586
31,0.9279008,0.19914787
32,0.9301832,0.19469205
33,0.93250436,0.1878665
34,0.9375223,0.17517567
35,0.93573284,0.17738144
36,0.9392074,0.1723504
37,0.9383596,0.17001994
38,0.9414109,0.16155829
39,0.94277483,0.16027641
40,0.9427778,0.15853123
41,0.94461143,0.15198572
42,0.9470485,0.14524102
43,0.9485278,0.1441213
44,0.948851,0.14231883
45,0.94916,0.14127283
46,0.95479274,0.12885791
47,0.95420694,0.12831414
48,0.95328826,0.1294665
49,0.95630735,0.122486696
50,0.9568066,0.120489106
51,0.9586555,0.116057545
52,0.9592848,0.11401292
53,0.95876414,0.11265754
54,0.96130955,0.109826244
55,0.96126634,0.10839374
56,0.96172404,0.106695734
57,0.9623257,0.10458667
58,0.9642788,0.10048373
59,0.96208125,0.10328133
60,0.9642115,0.10132682
61,0.96515745,0.1003764
62,0.96645516,0.093969464
63,0.96756405,0.09162093
64,0.9711807,0.08158318
65,0.9669024,0.092971936
66,0.9681911,0.08888185
67,0.9705291,0.08310057
68,0.9708749,0.08257456
69,0.9717167,0.08119308
70,0.969879,0.085408166
71,0.97199684,0.079549775
72,0.9736414,0.077387765
73,0.9720522,0.079669595
74,0.9729796,0.07524191
75,0.9724741,0.07574402
76,0.9745593,0.07185612
77,0.97246575,0.07602574
78,0.97363466,0.07423486
79,0.9735523,0.073537886
80,0.9757802,0.068864934
81,0.97611064,0.06637621
82,0.9773074,0.063624784
83,0.9757244,0.06979306
84,0.9781175,0.06305805
85,0.97740746,0.064380944
86,0.97686887,0.063130155
87,0.9776061,0.06546934
88,0.9795372,0.06111477
89,0.97874814,0.05947533
90,0.9780439,0.06262417
91,0.9788867,0.060621195
92,0.97958636,0.05807312
93,0.98105294,0.053583894
94,0.97865164,0.06047168
95,0.98204124,0.05193546
96,0.98068476,0.05522171
97,0.98045,0.056688588
98,0.9816073,0.05220238
99,0.9812881,0.053011764
