,MulticlassAccuracy,MulticlassPrecision,MulticlassRecall,MulticlassAUROC,MulticlassF1Score,Loss
0,0.44833213,0.44833213,0.44833213,0.64101946,0.44833213,0.7524134
1,0.5376946,0.5376946,0.5376946,0.7765709,0.5376946,0.7524134
2,0.55259454,0.55259454,0.55259454,0.79567146,0.55259454,0.7524134
3,0.558914,0.558914,0.558914,0.8027338,0.558914,0.7524134
4,0.5656227,0.5656227,0.5656227,0.8077303,0.5656227,0.7524134
5,0.56895846,0.56895846,0.56895846,0.8116226,0.56895846,0.7524134
6,0.570089,0.570089,0.570089,0.8143241,0.570089,0.7524134
7,0.57329506,0.57329506,0.57329506,0.81811583,0.57329506,0.7524134
8,0.5745552,0.5745552,0.5745552,0.81889945,0.5745552,0.7524134
9,0.5762232,0.5762232,0.5762232,0.8208267,0.5762232,0.7524134
10,0.5779466,0.5779466,0.5779466,0.8227525,0.5779466,0.7524134
11,0.57705706,0.57705706,0.57705706,0.82352746,0.57705706,0.7524134
12,0.57883614,0.57883614,0.57883614,0.8265956,0.57883614,0.7524134
13,0.5796516,0.5796516,0.5796516,0.82763976,0.5796516,0.7524134
14,0.5792624,0.5792624,0.5792624,0.8296836,0.5792624,0.7524134
15,0.5802261,0.5802261,0.5802261,0.8306019,0.5802261,0.7524134
16,0.5825241,0.5825241,0.5825241,0.8327533,0.5825241,0.7524134
17,0.583599,0.583599,0.583599,0.83458585,0.583599,0.7524134
18,0.5828576,0.5828576,0.5828576,0.8351429,0.5828576,0.7524134
19,0.58270943,0.58270943,0.58270943,0.83586425,0.58270943,0.7524134
20,0.58476645,0.58476645,0.58476645,0.83694285,0.58476645,0.7524134
21,0.58515567,0.58515567,0.58515567,0.83859766,0.58515567,0.7524134
22,0.58712006,0.58712006,0.58712006,0.84003925,0.58712006,0.7524134
23,0.58658266,0.58658266,0.58658266,0.8412263,0.58658266,0.7524134
24,0.5862676,0.5862676,0.5862676,0.84174216,0.5862676,0.7524134
25,0.58780575,0.58780575,0.58780575,0.842608,0.58780575,0.7524134
26,0.5881208,0.5881208,0.5881208,0.84375066,0.5881208,0.7524134
27,0.59006673,0.59006673,0.59006673,0.84411323,0.59006673,0.7524134
28,0.5905115,0.5905115,0.5905115,0.8450103,0.5905115,0.7524134
29,0.5898814,0.5898814,0.5898814,0.84642774,0.5898814,0.7524134
30,0.5899555,0.5899555,0.5899555,0.8477999,0.5899555,0.7524134
31,0.5906783,0.5906783,0.5906783,0.84826076,0.5906783,0.7524134
32,0.5915864,0.5915864,0.5915864,0.84917414,0.5915864,0.7524134
33,0.59208673,0.59208673,0.59208673,0.850585,0.59208673,0.7524134
34,0.593662,0.593662,0.593662,0.8514923,0.593662,0.7524134
35,0.59208673,0.59208673,0.59208673,0.8520473,0.59208673,0.7524134
36,0.5944589,0.5944589,0.5944589,0.8523529,0.5944589,0.7524134
37,0.595682,0.595682,0.595682,0.8534409,0.595682,0.7524134
38,0.5953113,0.5953113,0.5953113,0.85407275,0.5953113,0.7524134
