,MulticlassAccuracy,MulticlassPrecision,MulticlassRecall,MulticlassAUROC,MulticlassF1Score,Loss
0,0.52683467,0.52683467,0.52683467,0.6552962,0.52683467,0.71026355
1,0.62726086,0.62726086,0.62726086,0.77255154,0.62726086,0.71026355
2,0.63815796,0.63815796,0.63815796,0.79333717,0.63815796,0.71026355
3,0.6458673,0.6458673,0.6458673,0.80320406,0.6458673,0.71026355
4,0.6517235,0.6517235,0.6517235,0.8133322,0.6517235,0.71026355
5,0.656894,0.656894,0.656894,0.81819516,0.656894,0.71026355
6,0.6575426,0.6575426,0.6575426,0.82054967,0.6575426,0.71026355
7,0.6596368,0.6596368,0.6596368,0.82403123,0.6596368,0.71026355
8,0.6614529,0.6614529,0.6614529,0.8272184,0.6614529,0.71026355
9,0.66319495,0.66319495,0.66319495,0.8285864,0.66319495,0.71026355
10,0.6647887,0.6647887,0.6647887,0.83029,0.6647887,0.71026355
11,0.6652706,0.6652706,0.6652706,0.83152115,0.6652706,0.71026355
12,0.66628987,0.66628987,0.66628987,0.8343838,0.66628987,0.71026355
13,0.6661972,0.6661972,0.6661972,0.8353747,0.6661972,0.71026355
14,0.6680875,0.6680875,0.6680875,0.8364441,0.6680875,0.71026355
15,0.6697554,0.6697554,0.6697554,0.83799136,0.6697554,0.71026355
16,0.67103416,0.67103416,0.67103416,0.83894014,0.67103416,0.71026355
17,0.67188656,0.67188656,0.67188656,0.8405982,0.67188656,0.71026355
18,0.67225724,0.67225724,0.67225724,0.8421602,0.67225724,0.71026355
19,0.67175686,0.67175686,0.67175686,0.8416487,0.67175686,0.71026355
20,0.6739251,0.6739251,0.6739251,0.8432549,0.6739251,0.71026355
21,0.67436993,0.67436993,0.67436993,0.84379566,0.67436993,0.71026355
22,0.67340624,0.67340624,0.67340624,0.84578437,0.67340624,0.71026355
23,0.6745738,0.6745738,0.6745738,0.84649324,0.6745738,0.71026355
24,0.675037,0.675037,0.675037,0.8478939,0.675037,0.71026355
25,0.6756116,0.6756116,0.6756116,0.84804916,0.6756116,0.71026355
26,0.6774833,0.6774833,0.6774833,0.8492242,0.6774833,0.71026355
27,0.67690885,0.67690885,0.67690885,0.8496874,0.67690885,0.71026355
28,0.6778354,0.6778354,0.6778354,0.85098094,0.6778354,0.71026355
29,0.6791512,0.6791512,0.6791512,0.85211277,0.6791512,0.71026355
30,0.67959595,0.67959595,0.67959595,0.8526424,0.67959595,0.71026355
31,0.68107855,0.68107855,0.68107855,0.85364324,0.68107855,0.71026355
32,0.6794663,0.6794663,0.6794663,0.85402745,0.6794663,0.71026355
33,0.68039286,0.68039286,0.68039286,0.8550911,0.68039286,0.71026355
34,0.6810601,0.6810601,0.6810601,0.8557216,0.6810601,0.71026355
35,0.6812639,0.6812639,0.6812639,0.85688865,0.6812639,0.71026355
36,0.682487,0.682487,0.682487,0.85725737,0.682487,0.71026355
37,0.6839696,0.6839696,0.6839696,0.8585595,0.6839696,0.71026355
38,0.6818384,0.6818384,0.6818384,0.8593993,0.6818384,0.71026355
39,0.684192,0.684192,0.684192,0.8599062,0.684192,0.71026355
40,0.6828762,0.6828762,0.6828762,0.86014366,0.6828762,0.71026355
41,0.68472946,0.68472946,0.68472946,0.8615993,0.68472946,0.71026355
42,0.6845997,0.6845997,0.6845997,0.86159164,0.6845997,0.71026355
43,0.6860081,0.6860081,0.6860081,0.8618969,0.6860081,0.71026355
44,0.6860452,0.6860452,0.6860452,0.8626664,0.6860452,0.71026355
45,0.6872684,0.6872684,0.6872684,0.86446095,0.6872684,0.71026355
46,0.68782437,0.68782437,0.68782437,0.8650268,0.68782437,0.71026355
47,0.6873425,0.6873425,0.6873425,0.8653391,0.6873425,0.71026355
48,0.68819493,0.68819493,0.68819493,0.8665692,0.68819493,0.71026355
49,0.689029,0.689029,0.689029,0.8669914,0.689029,0.71026355
50,0.68908453,0.68908453,0.68908453,0.8673504,0.68908453,0.71026355
51,0.68865824,0.68865824,0.68865824,0.86749804,0.68865824,0.71026355
52,0.69038177,0.69038177,0.69038177,0.86914235,0.69038177,0.71026355
53,0.6903076,0.6903076,0.6903076,0.8696521,0.6903076,0.71026355
54,0.68997407,0.68997407,0.68997407,0.8702132,0.68997407,0.71026355
55,0.6907895,0.6907895,0.6907895,0.87047493,0.6907895,0.71026355
56,0.692198,0.692198,0.692198,0.8716296,0.692198,0.71026355
57,0.6930689,0.6930689,0.6930689,0.8728464,0.6930689,0.71026355
58,0.69160485,0.69160485,0.69160485,0.87280047,0.69160485,0.71026355
59,0.6932913,0.6932913,0.6932913,0.87342274,0.6932913,0.71026355
60,0.6938103,0.6938103,0.6938103,0.87462294,0.6938103,0.71026355
61,0.69484806,0.69484806,0.69484806,0.87542135,0.69484806,0.71026355
62,0.6946257,0.6946257,0.6946257,0.8753659,0.6946257,0.71026355
63,0.69616383,0.69616383,0.69616383,0.87617034,0.69616383,0.71026355
64,0.6965345,0.6965345,0.6965345,0.8783735,0.6965345,0.71026355
65,0.6967939,0.6967939,0.6967939,0.87767303,0.6967939,0.71026355
66,0.69659007,0.69659007,0.69659007,0.87893885,0.69659007,0.71026355
67,0.6973684,0.6973684,0.6973684,0.8791245,0.6973684,0.71026355
68,0.6983506,0.6983506,0.6983506,0.8797107,0.6983506,0.71026355
69,0.6982209,0.6982209,0.6982209,0.8821157,0.6982209,0.71026355
70,0.6998888,0.6998888,0.6998888,0.8826741,0.6998888,0.71026355
71,0.70053744,0.70053744,0.70053744,0.8828947,0.70053744,0.71026355
72,0.7020942,0.7020942,0.7020942,0.8840904,0.7020942,0.71026355
73,0.70211273,0.70211273,0.70211273,0.88427603,0.70211273,0.71026355
74,0.70227945,0.70227945,0.70227945,0.885955,0.70227945,0.71026355
75,0.7032061,0.7032061,0.7032061,0.8873277,0.7032061,0.71026355
76,0.70376205,0.70376205,0.70376205,0.88778526,0.70376205,0.71026355
77,0.7054485,0.7054485,0.7054485,0.88898194,0.7054485,0.71026355
78,0.70537436,0.70537436,0.70537436,0.88940966,0.70537436,0.71026355
79,0.7053373,0.7053373,0.7053373,0.89096534,0.7053373,0.71026355
80,0.70822835,0.70822835,0.70822835,0.89173687,0.70822835,0.71026355
81,0.7084507,0.7084507,0.7084507,0.89410514,0.7084507,0.71026355
82,0.7098777,0.7098777,0.7098777,0.8945012,0.7098777,0.71026355
83,0.7113417,0.7113417,0.7113417,0.8957881,0.7113417,0.71026355
84,0.7125648,0.7125648,0.7125648,0.896358,0.7125648,0.71026355
85,0.7118236,0.7118236,0.7118236,0.89864457,0.7118236,0.71026355
86,0.71414006,0.71414006,0.71414006,0.9001929,0.71414006,0.71026355
87,0.7134544,0.7134544,0.7134544,0.90050614,0.7134544,0.71026355
88,0.7162157,0.7162157,0.7162157,0.9025216,0.7162157,0.71026355
89,0.7175871,0.7175871,0.7175871,0.90481013,0.7175871,0.71026355
90,0.7210526,0.7210526,0.7210526,0.90567076,0.7210526,0.71026355
91,0.7203484,0.7203484,0.7203484,0.9071544,0.7203484,0.71026355
92,0.7235174,0.7235174,0.7235174,0.90897924,0.7235174,0.71026355
93,0.7252224,0.7252224,0.7252224,0.91027516,0.7252224,0.71026355
94,0.72674197,0.72674197,0.72674197,0.9119686,0.72674197,0.71026355
95,0.7285582,0.7285582,0.7285582,0.91296405,0.7285582,0.71026355
96,0.731894,0.731894,0.731894,0.9155382,0.731894,0.71026355
97,0.7328577,0.7328577,0.7328577,0.91754293,0.7328577,0.71026355
98,0.73604524,0.73604524,0.73604524,0.92000854,0.73604524,0.71026355
99,0.74010384,0.74010384,0.74010384,0.92159843,0.74010384,0.71026355
