,MulticlassAccuracy,Loss
0,0.71423376,0.8692979
1,0.7422287,0.7763125
2,0.7562261,0.7195855
3,0.7691329,0.67903835
4,0.7897655,0.60596436
5,0.7981276,0.5586875
6,0.8188511,0.5088537
7,0.8411198,0.43999058
8,0.8714779,0.36978164
9,0.8812943,0.33158627
10,0.90292674,0.2793885
11,0.912016,0.25255093
12,0.92383206,0.22261173
13,0.9291947,0.20128083
14,0.9369206,0.18082006
15,0.95182693,0.14030257
16,0.95546263,0.13270207
17,0.9499182,0.14763603
18,0.96118885,0.11143743
19,0.96773314,0.10075925
20,0.97500455,0.07360531
21,0.96836936,0.09014868
22,0.96791494,0.09438604
23,0.97900385,0.06375833
24,0.97727686,0.0713996
25,0.98482096,0.048363686
26,0.975459,0.076450944
27,0.9780949,0.06645949
28,0.98345757,0.05039855
29,0.98000365,0.0590473
30,0.98500276,0.046984877
31,0.9815488,0.058249816
32,0.9862752,0.043377563
33,0.986457,0.038990106
34,0.983912,0.050144542
35,0.9843665,0.049750805
36,0.9899109,0.03000715
37,0.9867297,0.03894677
38,0.9903654,0.030806681
39,0.98236686,0.056491
40,0.98963827,0.034258373
41,0.9880931,0.03523593
42,0.9852754,0.04627534
43,0.9941829,0.020218467
44,0.9961825,0.014037699
45,0.9893656,0.03343149
46,0.9866388,0.042963475
47,0.9874568,0.041840825
48,0.9892747,0.030901577
49,0.994092,0.018488241
50,0.99091077,0.031596623
51,0.9863661,0.04191704
52,0.9867297,0.03978752
53,0.9931831,0.018675145
54,0.991547,0.02496472
55,0.9913652,0.02540838
56,0.9920924,0.021317434
57,0.98727506,0.038523164
58,0.9882749,0.036934745
59,0.9879113,0.03819593
60,0.9874568,0.034739565
61,0.9924559,0.02330304
62,0.9947282,0.016536318
63,0.9914561,0.026424194
64,0.9941829,0.018813254
65,0.9934557,0.017065762
66,0.9918197,0.021618666
67,0.98727506,0.041962016
68,0.9880022,0.037700593
69,0.9947282,0.01983814
70,0.9967279,0.010958118
71,0.9903654,0.03119815
72,0.9886384,0.033095412
73,0.9934557,0.020623244
74,0.99491,0.014911741
75,0.993274,0.021251366
76,0.9975459,0.007969195
77,0.9985457,0.007519908
78,0.9985457,0.0045718895
79,0.9944556,0.019128263
80,0.9938193,0.020913124
81,0.9941829,0.016356857
82,0.9954554,0.013051547
83,0.990729,0.028368304
84,0.9842756,0.051366657
85,0.9944556,0.01900456
86,0.9945465,0.018039824
87,0.996637,0.009302343
88,0.9918197,0.022980697
89,0.98473006,0.044764798
90,0.9874568,0.03842788
91,0.9868206,0.043547805
92,0.9916379,0.022990994
93,0.9937284,0.019139312
94,0.9955463,0.014833396
95,0.99491,0.013857286
96,0.9972732,0.006427276
97,0.9953645,0.015761385
98,0.9911834,0.027001955
99,0.9947282,0.015374541
