,MulticlassAccuracy,Loss
0,0.71541536,0.8698799
1,0.7413198,0.7741512
2,0.7545901,0.72143286
3,0.76931465,0.67649794
4,0.78231233,0.62175745
5,0.79785496,0.5665509
6,0.817215,0.51051104
7,0.84184694,0.4432429
8,0.8641156,0.37627223
9,0.8716597,0.36071223
10,0.89656425,0.2915065
11,0.91183424,0.24690244
12,0.91992366,0.23132645
13,0.9290129,0.20478417
14,0.9453736,0.16595832
15,0.9481912,0.14419967
16,0.9608253,0.12470674
17,0.95273584,0.13808732
18,0.95773494,0.12603296
19,0.96018904,0.12036626
