,MulticlassAccuracy,Loss
0,0.28113338,0.37837097
1,0.3208002,0.2385384
2,0.3367924,0.20771125
3,0.35859013,0.18125315
4,0.39327145,0.15055478
5,0.45263404,0.12563886
6,0.4682141,0.09949817
7,0.49870032,0.07969966
8,0.580886,0.06572009
9,0.58703023,0.049612638
10,0.59815085,0.051890463
11,0.64503634,0.046510328
12,0.67284274,0.029213194
13,0.72354347,0.017743822
14,0.7208448,0.02802121
15,0.7260872,0.030634105
16,0.7638885,0.024555244
17,0.7289448,0.017432045
18,0.7880624,0.020739917
19,0.78789425,0.020353897
20,0.79015416,0.010004259
21,0.79020995,0.01029279
22,0.7901725,0.008050122
23,0.7752658,0.011048949
24,0.8307236,0.006058731
25,0.81557876,0.010302301
26,0.8189683,0.019295715
27,0.7984502,0.013857063
28,0.8789637,0.0074798814
29,0.94111586,0.012831971
30,0.9990336,0.0066242856
31,0.9096498,0.010175028
32,0.9580672,0.009389736
33,0.98949575,0.012760777
34,0.9899627,0.009095357
35,0.99140525,0.003153123
36,0.99997675,0.0013306456
37,1.0,0.00037154646
38,1.0,0.00028039608
39,1.0,0.00018296737
40,1.0,0.0001648234
41,1.0,0.000173932
42,1.0,0.00022136574
43,1.0,0.00013386118
44,1.0,0.00010260632
45,1.0,0.00010768394
46,1.0,9.49956e-05
47,1.0,0.00011302322
48,1.0,7.972265e-05
49,1.0,8.1882295e-05
50,1.0,6.882553e-05
51,1.0,9.356888e-05
52,1.0,8.909269e-05
53,1.0,6.330063e-05
54,1.0,6.142791e-05
55,1.0,5.5910838e-05
56,1.0,6.181624e-05
57,1.0,5.7115165e-05
58,1.0,6.6196866e-05
59,1.0,7.0850496e-05
60,1.0,5.880618e-05
61,1.0,5.2086605e-05
62,1.0,5.5590943e-05
63,1.0,6.2839885e-05
64,1.0,5.892704e-05
65,1.0,5.483356e-05
66,1.0,6.206204e-05
67,1.0,5.670808e-05
68,1.0,6.8458845e-05
69,1.0,7.6713855e-05
70,1.0,5.062869e-05
71,1.0,5.4349497e-05
72,1.0,5.4389853e-05
73,1.0,5.942207e-05
74,1.0,5.929227e-05
75,1.0,5.289346e-05
76,1.0,7.346862e-05
77,1.0,6.978481e-05
78,1.0,7.151728e-05
79,1.0,5.5816836e-05
80,1.0,5.852826e-05
81,1.0,6.1747276e-05
82,1.0,5.7281424e-05
83,1.0,5.820932e-05
84,1.0,6.226477e-05
85,1.0,6.409346e-05
86,1.0,6.064995e-05
87,1.0,6.9460235e-05
88,1.0,6.0037302e-05
89,1.0,6.392964e-05
90,1.0,5.9002934e-05
91,1.0,6.5065695e-05
92,1.0,6.207572e-05
93,1.0,8.760003e-05
94,1.0,6.945754e-05
95,1.0,6.842293e-05
96,1.0,6.226202e-05
97,1.0,5.657867e-05
98,1.0,5.5487162e-05
99,1.0,6.691291e-05
