,MulticlassAccuracy,Loss
0,0.84520996,0.4484794
1,0.8710235,0.3733134
2,0.8902018,0.31507728
3,0.9144701,0.25041977
4,0.9360116,0.1900386
5,0.95746225,0.13205028
6,0.97391385,0.089313075
7,0.9804581,0.062393848
8,0.98963827,0.039608914
9,0.9925468,0.028228786
10,0.9959098,0.019666433
11,0.9980913,0.011985612
12,0.9980004,0.010822515
13,0.9976368,0.010823362
14,0.9968188,0.012349504
15,0.998273,0.010215965
16,0.9981822,0.008897825
17,0.9970914,0.011576175
18,0.9983639,0.008043621
19,0.998273,0.00791228
20,0.9990911,0.0053526554
21,0.9993638,0.004103939
22,0.9994546,0.0036476501
23,0.9992729,0.0035312271
24,0.9992729,0.0033645935
25,0.9993638,0.0027365943
26,0.9995455,0.0021036672
27,0.9996364,0.0022199408
28,0.9995455,0.0026329053
29,0.9994546,0.002335911
30,0.9998182,0.0014481631
31,0.9999091,0.0014078608
32,0.9993638,0.0019662674
33,0.9998182,0.0012000444
34,0.9996364,0.0014360191
35,0.9996364,0.0019445372
36,0.9996364,0.0017045817
37,0.9996364,0.001535644
38,0.9996364,0.0015006432
39,0.9999091,0.0010135988
40,0.9998182,0.0013938888
41,1.0,0.0007735293
42,1.0,0.00060998293
43,0.9998182,0.0012504037
44,0.9998182,0.0012499056
45,0.9997273,0.001038625
46,1.0,0.00095645076
47,0.9999091,0.0008107049
48,0.9997273,0.0011563483
49,0.9995455,0.0022457556
50,0.9996364,0.0019926445
51,0.9999091,0.0010742979
52,0.9999091,0.0006309925
53,1.0,0.00055289274
54,0.9997273,0.0015677869
55,1.0,0.00063280785
56,0.9999091,0.00045596604
57,0.9993638,0.0030308769
58,1.0,0.0007068679
59,0.9996364,0.0015927107
60,0.9999091,0.00077437435
61,1.0,0.00075186096
62,1.0,0.00031680628
63,0.9999091,0.00046006442
64,1.0,0.00033822234
65,1.0,0.00036925988
66,1.0,0.0003199716
67,1.0,0.00032128257
68,1.0,0.00041535601
69,0.9999091,0.0005587516
70,0.9999091,0.0006202981
71,1.0,0.00046221574
72,1.0,0.00032692493
73,1.0,0.0002784559
74,1.0,0.00025032237
75,1.0,0.00035477008
76,1.0,0.00022532791
77,1.0,0.000309678
78,1.0,0.0002413184
79,0.9998182,0.0004690967
80,1.0,0.00032673197
81,0.9998182,0.0006889118
82,0.9998182,0.00079486007
83,1.0,0.00037447794
84,0.9999091,0.00042357095
85,1.0,0.00030705638
86,0.9999091,0.0006080565
87,0.9999091,0.00077119604
88,1.0,0.000421966
89,0.9998182,0.001520844
90,0.9996364,0.001850717
91,0.9997273,0.0012211739
92,0.9999091,0.0007526326
93,0.9999091,0.0006359292
94,1.0,0.0005117352
95,1.0,0.00039001825
96,0.9999091,0.00043223565
97,1.0,0.00039244394
98,0.9999091,0.00047396164
99,1.0,0.0006620117
