,MulticlassAccuracy,Loss
0,0.697146,0.9153859
1,0.7350482,0.7927053
2,0.7392292,0.7694781
3,0.7455917,0.7478931
4,0.7455008,0.736279
5,0.7514997,0.72413737
6,0.7516815,0.7161233
7,0.7544992,0.70227605
8,0.7592256,0.69680274
9,0.7641338,0.6864319
10,0.7624977,0.6792348
11,0.7643156,0.677966
12,0.76731503,0.67125034
13,0.7677695,0.6569191
14,0.7714052,0.6520243
15,0.7738593,0.64367616
16,0.77658606,0.6354561
17,0.77476823,0.63270926
18,0.7786766,0.62020105
19,0.78222144,0.6134744
20,0.78458464,0.60138124
21,0.78694785,0.5890254
22,0.7959462,0.5701351
23,0.79785496,0.56197953
24,0.8073078,0.5419468
25,0.8113979,0.5265302
26,0.8182149,0.50279635
27,0.8237593,0.49783924
28,0.8302127,0.46857688
29,0.83721143,0.45642784
30,0.83930194,0.4514666
31,0.85284495,0.41630593
32,0.8580258,0.40448055
33,0.8655699,0.3738845
34,0.8724777,0.36127564
35,0.8797491,0.33786574
36,0.88802034,0.3188512
37,0.89320123,0.3036958
38,0.8997455,0.28911093
39,0.91065264,0.25884825
40,0.9144701,0.24644925
41,0.9170151,0.23278396
42,0.92483187,0.21666601
43,0.9336484,0.19989522
44,0.9369206,0.18365653
45,0.9482821,0.15671845
46,0.9494637,0.15073386
47,0.9481912,0.15269862
48,0.95264494,0.14552481
49,0.96064353,0.11163663
50,0.96464276,0.10782516
51,0.96809673,0.09664926
52,0.96918744,0.08769656
53,0.97355026,0.078622095
54,0.97264135,0.084555365
55,0.9850936,0.046267882
56,0.9866388,0.043097597
57,0.98136705,0.055329867
58,0.9869115,0.040146586
59,0.98500276,0.04550273
60,0.9851845,0.043833952
61,0.9875477,0.039297927
62,0.9900927,0.030695762
63,0.9908199,0.028676482
64,0.9930922,0.021954296
65,0.9940011,0.020429809
66,0.9943647,0.019889165
67,0.9937284,0.01905403
68,0.9908199,0.02778622
69,0.99218327,0.022298686
70,0.9913652,0.02708644
71,0.9905472,0.029339619
72,0.99491,0.015651967
73,0.997455,0.011591102
74,0.9965461,0.011659671
75,0.9952736,0.017215954
76,0.9913652,0.027840797
77,0.9927286,0.02318945
78,0.9950009,0.015976733
79,0.9969097,0.012008421
80,0.9956372,0.014410177
81,0.9964552,0.012187376
82,0.9965461,0.01461314
83,0.9973641,0.009322481
84,0.998273,0.00561456
85,0.9984548,0.0052345498
86,0.9988184,0.0066160974
87,0.9978186,0.0066825133
88,0.9979095,0.0063597746
89,0.9970006,0.008169406
90,0.9963643,0.010727747
91,0.9976368,0.008100607
92,0.9990002,0.0030457675
93,0.9997273,0.0019393878
94,0.9996364,0.0017487092
95,0.9996364,0.0021065907
96,0.9983639,0.005810618
97,0.998273,0.0054229107
98,0.999182,0.0034417745
99,0.9986366,0.004625123
