,MulticlassAccuracy,Loss
0,0.72577715,0.77622455
1,0.78131247,0.6299389
2,0.79412836,0.57831025
3,0.813034,0.53298736
4,0.8323941,0.48037696
5,0.84930015,0.4215139
6,0.873932,0.3558128
7,0.89810944,0.28686252
8,0.92237777,0.2274919
9,0.9301036,0.2007955
10,0.9500091,0.15170117
11,0.96255225,0.1121075
12,0.96727866,0.10183339
13,0.97136885,0.08989303
14,0.97364116,0.07998106
15,0.98227596,0.057284556
16,0.98336667,0.052136134
17,0.989002,0.036635213
18,0.9888202,0.035029046
19,0.9945465,0.0181123
20,0.9946373,0.017978998
21,0.9947282,0.017910955
22,0.9930013,0.023754561
23,0.9967279,0.014120038
24,0.9972732,0.0100793
25,0.9993638,0.0047833333
26,0.9993638,0.004482891
27,0.9990911,0.004356939
28,0.9996364,0.0029007455
29,0.9995455,0.0029677716
30,0.999182,0.0041268105
31,0.9981822,0.007657038
32,0.9994546,0.0034227846
33,0.9997273,0.002102036
34,0.9999091,0.0021262052
35,0.9997273,0.0023850102
36,0.9998182,0.0014947646
37,0.9997273,0.0017700782
38,0.9994546,0.0021382503
39,1.0,0.0012463148
40,1.0,0.0007995513
41,0.9986366,0.0046668407
42,0.9980913,0.0062711453
43,0.9948191,0.016665604
44,0.9943647,0.017365806
45,0.9886384,0.041761156
46,0.9943647,0.01883579
47,0.9954554,0.016093018
48,0.9978186,0.008505614
49,0.9980913,0.00657637
50,0.9984548,0.0061687035
51,0.999182,0.0044183047
52,0.9992729,0.0035157793
53,0.9996364,0.001664771
54,0.9989093,0.003802865
55,0.9989093,0.0047174515
56,0.9995455,0.0026037924
57,0.9995455,0.0023331377
58,0.9997273,0.0019508019
59,0.9993638,0.0016047759
60,0.9998182,0.00092904415
61,0.9999091,0.00081010634
62,0.9999091,0.0005358396
63,0.9996364,0.001491523
64,0.9994546,0.001996945
65,1.0,0.00063863397
66,0.9998182,0.0007900247
67,0.9997273,0.00088887796
68,0.9999091,0.0007713855
69,1.0,0.00041332413
70,0.9999091,0.0005484055
71,0.9999091,0.00074192946
72,0.9997273,0.0007409565
73,1.0,0.00038535363
74,1.0,0.0003588038
75,0.9999091,0.0005392146
76,1.0,0.00028396974
77,0.9998182,0.00070888904
78,1.0,0.00028920398
79,1.0,0.00023924459
80,1.0,0.00035675676
81,0.9995455,0.0016409776
82,1.0,0.00043541496
83,0.9999091,0.00044989202
84,1.0,0.00030335653
85,1.0,0.0002691524
86,1.0,0.00023737858
87,1.0,0.00018694173
88,1.0,0.00018164198
89,1.0,0.00018968458
90,1.0,0.00017132748
91,1.0,0.00017523242
92,1.0,0.0001615666
93,1.0,0.00014037902
94,1.0,0.0001603402
95,1.0,0.00015405781
96,0.9999091,0.00029497454
97,1.0,0.00017867894
98,1.0,0.0001560732
99,0.9999091,0.0003846347
