,MulticlassAccuracy,Loss
0,0.91784966,0.26658934
1,0.9371562,0.18967393
2,0.941792,0.1718774
3,0.94591874,0.16120654
4,0.9456642,0.15858945
5,0.94710034,0.15432051
6,0.9492456,0.14849919
7,0.9507907,0.14354478
8,0.9507907,0.14263579
9,0.9510452,0.14150265
10,0.95171785,0.13887097
11,0.95233595,0.13666403
12,0.9529358,0.13424848
13,0.95315397,0.1334171
14,0.95329934,0.13196513
15,0.9536085,0.13139205
16,0.9533539,0.12962025
17,0.9545537,0.12914506
18,0.955099,0.12833676
19,0.95495355,0.12551042
20,0.9564079,0.12146739
21,0.95738953,0.1185706
22,0.9582076,0.115191676
23,0.9584985,0.11381097
24,0.9595891,0.11050767
25,0.9614252,0.10691607
26,0.9620069,0.10368925
27,0.9638611,0.09963821
28,0.9651882,0.09614514
29,0.96793306,0.091361314
30,0.967515,0.0897658
31,0.96829665,0.0880825
32,0.9714961,0.080113225
33,0.9728958,0.07594858
34,0.97249585,0.07663974
35,0.9740593,0.07269169
36,0.9762043,0.068498
37,0.9763861,0.065043256
38,0.97934914,0.059471764
39,0.9784039,0.06066233
40,0.98142165,0.05192501
41,0.9818579,0.05172022
42,0.98269403,0.048836
43,0.9841484,0.04440657
44,0.9866206,0.039518762
45,0.98694783,0.03809601
46,0.9884022,0.03559911
47,0.9892928,0.031081453
48,0.9898019,0.030056396
49,0.9898928,0.02906158
50,0.99189246,0.023591245
51,0.9932739,0.019981682
52,0.993783,0.019011939
53,0.9929104,0.021304002
54,0.99434644,0.018001521
55,0.9951645,0.01530165
56,0.9952918,0.014283041
57,0.996237,0.011091768
58,0.9964552,0.011199909
59,0.9966006,0.011137678
60,0.996328,0.011478995
61,0.9970733,0.0096547445
62,0.9983276,0.005633873
63,0.9969643,0.009429124
64,0.99696416,0.009693479
65,0.99812764,0.006357353
66,0.9982731,0.0057853726
67,0.99887294,0.004592044
68,0.9983276,0.005590985
69,0.99889106,0.0035415303
70,0.9991819,0.0032410186
71,0.9985275,0.005313171
72,0.99849117,0.0048904866
73,0.99920005,0.0028685138
74,0.9988184,0.0035332448
75,0.9989456,0.0034577525
76,0.9986366,0.0042954003
77,0.99798214,0.0065851933
78,0.999091,0.003479268
79,0.99952734,0.001824112
80,0.99927294,0.0026258717
81,0.9995638,0.0015912043
82,0.99929106,0.002670091
83,0.99905473,0.0038121673
84,0.9994547,0.002608462
85,0.99940014,0.0023392981
86,0.9997091,0.0011791058
87,0.9989456,0.0034469143
88,0.99940014,0.0025337306
89,0.99932736,0.0029077032
90,0.99958193,0.0021183933
91,0.9996365,0.0017382108
92,0.99950916,0.0019426725
93,0.99941826,0.0031413685
94,0.99972725,0.0015098263
95,0.9998182,0.0012565561
96,0.9997455,0.0011585916
97,0.9998,0.0008924641
98,0.9997091,0.0012325702
99,0.9997091,0.001499077
