,BinaryAccuracy,BinaryPrecision,BinaryRecall,BinaryAUROC,BinaryF1Score,Loss
0,0.6968771,0.3056015,0.017295545,0.49958786,0.03202108,0.59813786
1,0.7057849,0.49022707,0.025088945,0.5081724,0.046758495,0.572291
2,0.71085477,0.55242795,0.11225033,0.5370742,0.18512264,0.5634366
3,0.7137634,0.5544528,0.1603094,0.5530907,0.24854593,0.5602124
4,0.71580344,0.5592571,0.17958677,0.5601346,0.27171963,0.55923223
5,0.7172174,0.5640641,0.1885412,0.5637374,0.28235394,0.55789816
6,0.7167932,0.56197613,0.18922648,0.5636355,0.2828738,0.55640227
7,0.71879286,0.5684187,0.20029995,0.56826913,0.29610834,0.5552004
8,0.71808594,0.566442,0.1957193,0.56643766,0.29077,0.55419743
9,0.7172376,0.55892557,0.20310274,0.5679791,0.29778877,0.55440015
10,0.72002494,0.5717999,0.20905204,0.5716849,0.30607554,0.5526722
11,0.7195605,0.5689095,0.21034893,0.57173127,0.306802,0.55177796
12,0.7201665,0.56735706,0.22285998,0.57579345,0.3200008,0.55107623
13,0.72087336,0.57016397,0.22450063,0.57677156,0.32204276,0.5499886
14,0.7199038,0.56860065,0.21554637,0.5734843,0.31252116,0.54984325
15,0.72131777,0.5726648,0.22416005,0.5769884,0.32197803,0.5494955
16,0.7229538,0.5821454,0.22033064,0.57703763,0.3190489,0.5486383
17,0.7228326,0.5800902,0.22388545,0.57798344,0.32300812,0.5474486
18,0.7238224,0.5811374,0.23407117,0.5816429,0.33361024,0.5467392
19,0.7230548,0.5783061,0.2318834,0.580463,0.3308587,0.5472466
20,0.72293353,0.57881737,0.22819424,0.5793065,0.32704926,0.54642177
21,0.7236405,0.57778394,0.23988156,0.5832005,0.33891234,0.54570556
22,0.7238224,0.58082134,0.23502827,0.58192086,0.3344683,0.5442886
23,0.72489285,0.58167773,0.24507801,0.58559823,0.34457916,0.5436243
24,0.72402436,0.57784146,0.24494031,0.5849415,0.3439107,0.5437563
25,0.72547865,0.5832132,0.24794936,0.5868473,0.34788638,0.54299545
26,0.7258624,0.58345574,0.25259846,0.5884695,0.3525126,0.5424693
27,0.72796315,0.59110147,0.2569737,0.59123063,0.35811272,0.54140013
28,0.7273774,0.5877844,0.25847733,0.5912514,0.35879937,0.54196584
29,0.72624624,0.58364904,0.25615346,0.58977395,0.35598904,0.54086393
30,0.7274581,0.58884764,0.25724632,0.5909512,0.35797024,0.5405804
