,BinaryAccuracy,BinaryPrecision,BinaryRecall,BinaryAUROC,BinaryF1Score,Loss
0,0.87072486,0.7437967,0.668406,0.811998,0.68690974,0.2973958
1,0.8832282,0.81438905,0.67777383,0.8235917,0.6942368,0.25813845
2,0.8887224,0.83299625,0.69834995,0.83346385,0.7249402,0.2395385
3,0.8942773,0.8430109,0.72193325,0.84425163,0.75451624,0.22693709
4,0.8976706,0.8481929,0.73396415,0.8501522,0.76845133,0.2190828
5,0.89833724,0.8505971,0.7351943,0.8509823,0.77181596,0.21625373
6,0.904922,0.8644907,0.7479783,0.8593668,0.7842377,0.20542946
7,0.90411407,0.85965794,0.75009656,0.8594082,0.78446996,0.20604613
8,0.905427,0.85951626,0.7554292,0.8618881,0.7888924,0.20166843
9,0.90787095,0.86590064,0.760077,0.86497176,0.79401714,0.19789442
10,0.9097495,0.8649238,0.7695791,0.8690634,0.8003181,0.1924579
11,0.91308224,0.87445414,0.77046835,0.87168694,0.8024355,0.18871911
12,0.9135064,0.87308866,0.77320254,0.8727816,0.80417186,0.18511944
13,0.9124762,0.86854637,0.7760044,0.8728636,0.80625725,0.18618391
14,0.91461724,0.8737141,0.77914876,0.875296,0.80822515,0.18354568
15,0.9157686,0.87632143,0.7811312,0.8766886,0.8111469,0.18258157
16,0.91665727,0.8772815,0.7808579,0.87724,0.81029004,0.17868456
17,0.91760653,0.8799874,0.7834554,0.87866783,0.8124754,0.17766139
18,0.91742486,0.8784505,0.78694147,0.87955064,0.8161725,0.17740947
19,0.91912144,0.88024616,0.7909057,0.88190544,0.8197657,0.17244737
20,0.919687,0.8805302,0.78755695,0.8813349,0.8155117,0.16938838
21,0.9214241,0.88246125,0.7971271,0.8853458,0.823995,0.16866961
22,0.9215251,0.8828083,0.79876655,0.8858932,0.8260765,0.16767861
23,0.9204546,0.8815072,0.7952805,0.8841214,0.82360613,0.16825536
24,0.9230803,0.88630354,0.8010909,0.88767177,0.8291888,0.1650794
25,0.92320156,0.8863474,0.80013406,0.88748014,0.8272551,0.16365932
26,0.92497903,0.8887497,0.80218536,0.8893372,0.828423,0.15932468
27,0.925383,0.89164364,0.80553377,0.89059573,0.8328315,0.15978125
28,0.9258677,0.89082,0.80840456,0.89177305,0.83453447,0.15864846
29,0.9279482,0.89658034,0.80758506,0.89301175,0.8349743,0.15525451
30,0.9252617,0.8891363,0.80703753,0.8909461,0.8342104,0.15924464
31,0.9263929,0.8901451,0.809157,0.8923643,0.8334484,0.15682878
32,0.9293418,0.8966076,0.81298524,0.8955685,0.8392146,0.15097822
33,0.9287157,0.8943655,0.81264275,0.8950246,0.8375484,0.15169348
34,0.9303315,0.89740276,0.8172227,0.8975009,0.84230024,0.1483797
35,0.929968,0.8953277,0.8181797,0.89752054,0.8428297,0.14773254
36,0.9306346,0.8972575,0.8216659,0.8990056,0.8459135,0.14786609
37,0.9320485,0.89990026,0.8251518,0.9010209,0.85020906,0.14482525
38,0.9329978,0.9025257,0.82467365,0.901556,0.84948695,0.14331059
39,0.9330179,0.9031212,0.8233064,0.9011734,0.84861183,0.1425952
40,0.9334219,0.9001888,0.82761306,0.9027103,0.8504674,0.14148709
41,0.9334017,0.9012785,0.8277491,0.90273535,0.85210305,0.14032891
42,0.9343915,0.90401876,0.82979965,0.90403306,0.8535897,0.14052597
43,0.93517923,0.90585595,0.8320552,0.90524673,0.8565664,0.13956115
44,0.9351187,0.9050673,0.83205557,0.90520394,0.855923,0.13938366
45,0.93315935,0.9008131,0.8269289,0.9023253,0.85091084,0.14046618
46,0.9355024,0.9070247,0.8335595,0.9059129,0.85767615,0.1392547
47,0.93580544,0.9080062,0.8336271,0.9061475,0.8589392,0.13727549
48,0.9348157,0.90420705,0.831509,0.90483034,0.8553341,0.13780104
49,0.9361285,0.9074297,0.8329439,0.9061785,0.85730326,0.13543436
50,0.9357449,0.90475816,0.83608866,0.906819,0.8591536,0.13574374
51,0.9354621,0.90530837,0.83547294,0.9064396,0.8583051,0.1376012
52,0.93734044,0.9093817,0.8369087,0.90818965,0.8606307,0.13239019
53,0.9370779,0.90792894,0.83909595,0.908638,0.86268294,0.1321514
54,0.93831015,0.9118532,0.84012127,0.9098102,0.8640357,0.13228738
55,0.93873423,0.9122006,0.8421038,0.9106868,0.86606896,0.1305864
56,0.93936044,0.91380537,0.84258205,0.91126996,0.86595213,0.13031782
57,0.93800706,0.9094299,0.8420351,0.91015065,0.8652237,0.13130476
58,0.93865335,0.9102543,0.8438121,0.91112506,0.86647594,0.12961714
59,0.94059247,0.9129151,0.85126287,0.9146641,0.8732753,0.12757698
60,0.9399866,0.91594535,0.84552145,0.9125676,0.86987287,0.12956601
61,0.94014823,0.9144491,0.8466152,0.91299975,0.86982596,0.12702708
62,0.9413198,0.9163904,0.85092115,0.915081,0.87412435,0.12675866
63,0.9403097,0.9129464,0.8491441,0.9138485,0.8715944,0.12711127
64,0.9407946,0.91375303,0.85187817,0.914986,0.87430537,0.12728669
65,0.9416833,0.91744864,0.85153615,0.9155175,0.8753327,0.124295816
66,0.9440467,0.9223029,0.8574834,0.9189212,0.88069993,0.121866986
67,0.94251144,0.9181361,0.85597914,0.91739494,0.8787619,0.12328116
68,0.942956,0.91898173,0.85700464,0.918008,0.87959224,0.12144774
69,0.9438648,0.91897964,0.86055917,0.919685,0.88200235,0.119580075
70,0.94495565,0.9242838,0.8597387,0.920221,0.8835171,0.119777635
71,0.9466523,0.925721,0.86595905,0.92323077,0.8881513,0.11733417
72,0.9453394,0.923772,0.8625412,0.9213067,0.8853486,0.11803514
73,0.9472786,0.9266351,0.8695817,0.92472667,0.8916234,0.11579029
74,0.94647056,0.9251739,0.86739427,0.9235182,0.8896047,0.116151415
75,0.9473392,0.92697316,0.8689669,0.92459136,0.890824,0.11500518
76,0.9491167,0.9317152,0.8708807,0.9264084,0.8937882,0.1106901
77,0.94905615,0.9307002,0.8734781,0.92711926,0.89578515,0.11298007
78,0.94917727,0.93063337,0.87361443,0.9272448,0.89574224,0.11113782
79,0.95038927,0.9321418,0.87826264,0.9294542,0.8995105,0.11060425
80,0.9508135,0.93455493,0.87757874,0.92955667,0.89989126,0.109789655
81,0.9506115,0.9310919,0.88127023,0.9304849,0.90123177,0.108090356
82,0.95087415,0.9319211,0.88222706,0.9309489,0.90239716,0.109991565
83,0.95317686,0.9369109,0.88653314,0.9338331,0.9070166,0.1055179
84,0.9535405,0.9372672,0.8880373,0.9345279,0.90820074,0.10498788
85,0.95317686,0.9345357,0.89029276,0.9349245,0.9088472,0.10348181
86,0.9548131,0.9390062,0.89268464,0.9367798,0.91217613,0.10315658
87,0.9532982,0.93450624,0.8917963,0.9354469,0.9098037,0.10479556
88,0.9550959,0.93676966,0.8975382,0.9383894,0.9145161,0.10110171
89,0.95721686,0.94219524,0.8993839,0.9404305,0.9174844,0.09784977
90,0.9558433,0.93894786,0.8982897,0.93913805,0.91585845,0.10034746
91,0.95820665,0.94207114,0.90437347,0.9425813,0.9207581,0.0952949
