,BinaryAccuracy,BinaryPrecision,BinaryRecall,BinaryAUROC,BinaryF1Score,Loss
0,0.6316717,0.45918852,0.04466534,0.5075392,0.080968805,0.6391934
1,0.66324884,0.61166805,0.21944745,0.5694002,0.32015362,0.6127966
2,0.67208415,0.59690607,0.3199535,0.59762037,0.41644138,0.6059223
3,0.67521083,0.5983491,0.34191173,0.6047288,0.43511048,0.6028034
4,0.6764106,0.5970601,0.3556245,0.608575,0.44571686,0.6010024
5,0.67570174,0.59548867,0.35458085,0.607795,0.44448495,0.60053545
6,0.67891943,0.599942,0.36809558,0.613191,0.45609456,0.59824616
7,0.68057376,0.60048735,0.37962073,0.616932,0.46515244,0.59696424
8,0.6810282,0.60045445,0.3837952,0.6181737,0.468129,0.5965263
9,0.68061,0.59957033,0.3828997,0.61765397,0.46731526,0.59560007
10,0.6807374,0.60114133,0.37897563,0.61692506,0.46478596,0.5951377
11,0.68295515,0.60230225,0.3931345,0.62166774,0.47571105,0.59355944
12,0.6831552,0.60354316,0.390649,0.62129915,0.47425032,0.5942626
13,0.68304604,0.6020336,0.394823,0.6220962,0.47686806,0.5923034
14,0.68310064,0.6019176,0.39541826,0.62226456,0.47724503,0.59227836
15,0.6834278,0.6025219,0.39626434,0.62270224,0.478033,0.5926788
16,0.68446404,0.6015223,0.40784055,0.62596744,0.486046,0.59093106
17,0.6857548,0.6050271,0.4067467,0.6267535,0.48638362,0.5899315
18,0.68710005,0.6058766,0.41469622,0.62949556,0.4923396,0.5895952
19,0.68671834,0.60499823,0.4144473,0.6291417,0.49187532,0.5882875
20,0.6879908,0.60690075,0.4181243,0.6309227,0.49512082,0.58746845
21,0.6876272,0.60643756,0.41693163,0.6303838,0.49411854,0.5878053
22,0.6888635,0.607758,0.42214745,0.63246125,0.49818945,0.58682936
23,0.6889361,0.6067993,0.4260727,0.6333486,0.50052583,0.58513355
24,0.69204473,0.61267674,0.4306945,0.63677806,0.5057462,0.58503664
25,0.68982685,0.60760105,0.42999774,0.6348813,0.5035609,0.5841754
26,0.69075406,0.6112927,0.42537802,0.6346358,0.5015789,0.5826779
27,0.6913539,0.61033213,0.43278012,0.636674,0.506409,0.58277786
28,0.69271743,0.612497,0.43600908,0.6384317,0.50933635,0.58161414
29,0.6933719,0.61289895,0.43983465,0.63975656,0.5121112,0.5816088
30,0.69508076,0.617094,0.43913952,0.6409574,0.51310277,0.5797185
31,0.6939356,0.6138854,0.44112644,0.6404746,0.51323354,0.57936907
32,0.6964078,0.6180373,0.44584638,0.643422,0.5180035,0.5784705
33,0.6953715,0.6167811,0.44271645,0.6419431,0.5153339,0.57785356
34,0.697044,0.6187151,0.44823116,0.64442796,0.51983273,0.5771187
35,0.69702595,0.6180379,0.45031768,0.6448549,0.5210045,0.57532734
36,0.69782585,0.6202977,0.44892645,0.64519155,0.5207737,0.5761603
37,0.69682586,0.6171769,0.4518079,0.645012,0.52163535,0.57449263
38,0.6979531,0.61920154,0.45329857,0.64621633,0.52340853,0.57424587
39,0.6983349,0.619774,0.45434237,0.6467384,0.5243061,0.5739895
40,0.6997165,0.6230572,0.45379505,0.64771163,0.52508384,0.57309747
41,0.6988257,0.6209396,0.45409283,0.6470722,0.5245343,0.5711595
42,0.7029705,0.6281538,0.46134758,0.6518751,0.5319627,0.56962025
43,0.7017888,0.6252516,0.4617447,0.6510272,0.53117496,0.56924564
