,BinaryRecall,BinaryAccuracy,BinaryAUROC,BinaryPrecision,BinaryFBetaScore,Loss
0,0.71106076,0.5068942,0.5494158,0.43993124,0.47624883,0.69366676
1,0.5173624,0.5368988,0.55097586,0.44744712,0.45986953,0.6908349
2,0.3523408,0.5644755,0.56025076,0.4639772,0.43628454,0.6882395
3,0.21305788,0.5770499,0.5633048,0.4730556,0.38019514,0.68622303
4,0.1223649,0.58318824,0.56801295,0.48133546,0.3031525,0.6843468
5,0.06650752,0.5858452,0.5705605,0.4894832,0.21535704,0.6827783
6,0.036498945,0.5874256,0.5731953,0.5076475,0.14150092,0.68143207
7,0.020634681,0.58747137,0.5803461,0.51338327,0.08878948,0.6800444
8,0.012036743,0.5883646,0.5842571,0.5736672,0.055517387,0.6789025
9,0.0066009103,0.5876317,0.5871515,0.553098,0.0314865,0.67792684
10,0.0042156586,0.58737975,0.58978397,0.5511923,0.020407248,0.67702794
11,0.0022742648,0.5871049,0.5936181,0.4815691,0.0111332815,0.67623943
12,0.0024406693,0.58749425,0.5983391,0.6363023,0.012013232,0.6753653
13,0.001053907,0.58705914,0.6018894,0.5001532,0.0052175047,0.6746539
14,0.0012757748,0.5873111,0.6040246,0.62333333,0.006315605,0.67412454
15,0.0004992142,0.58696747,0.60835963,0.38606063,0.0024771844,0.67336214
16,0.0005546927,0.58699036,0.61250234,0.43380952,0.0027584732,0.6726721
17,0.00066564966,0.58705914,0.6119631,0.52,0.003307484,0.67241454
18,0.0004992604,0.5871507,0.61509025,0.4833333,0.002483756,0.671817
19,0.00094299606,0.5872881,0.61947834,0.7222222,0.004683829,0.67120516
20,0.0003882726,0.5869446,0.62463385,0.3,0.0019312635,0.67050797
21,0.000388288,0.587082,0.6263668,0.36,0.0019325607,0.67009455
22,0.0004992296,0.5871736,0.626202,0.71999997,0.0024869572,0.66974795
23,0.0006101866,0.5871278,0.6291243,0.42666668,0.0030328885,0.6693876
24,0.0010538915,0.58735687,0.634095,0.53809524,0.0052174423,0.6686365
25,0.00066560355,0.5871736,0.6320416,0.45999998,0.0033039264,0.66850597
26,0.0008875175,0.58717364,0.6344405,0.5228571,0.0044040205,0.6679683
27,0.00061014044,0.58705914,0.63976353,0.4990476,0.0030344906,0.6672561
28,0.0008875175,0.587082,0.6398292,0.46677488,0.004398882,0.66698706
29,0.0011648025,0.58726525,0.6407066,0.6088889,0.0057779388,0.6666559
30,0.0011094315,0.5872194,0.64194477,0.6075758,0.0055005187,0.6662487
31,0.0014976582,0.58737975,0.6413184,0.6611111,0.0074197063,0.666057
32,0.0019969032,0.58754003,0.6442156,0.6874243,0.009858263,0.6655412
33,0.0020523353,0.58747137,0.64606327,0.65515155,0.010123976,0.6650819
34,0.0025516418,0.58749425,0.6483196,0.6356672,0.012528707,0.66454524
35,0.0032172303,0.5877004,0.6470398,0.6620327,0.015756875,0.66444683
36,0.003550055,0.58779204,0.6479613,0.6717507,0.017373715,0.66410226
37,0.003660981,0.58786076,0.6500621,0.67679626,0.017900225,0.6636406
38,0.0051032375,0.58827305,0.65179867,0.6985029,0.024761528,0.66307616
39,0.005325075,0.5881585,0.65370834,0.6684469,0.025791477,0.6625999
40,0.005768872,0.588044,0.6544527,0.6184808,0.027767623,0.6623446
41,0.007654833,0.58850205,0.6550756,0.6502913,0.03650546,0.66201526
42,0.008819635,0.5888685,0.65477234,0.66732824,0.04180766,0.6616694
43,0.008653155,0.5884104,0.65654105,0.6198061,0.040925562,0.6612357
44,0.0107057495,0.5890289,0.65733707,0.6382048,0.050068658,0.6609497
45,0.012480816,0.5894183,0.6561079,0.64810956,0.057839803,0.6606732
46,0.014311192,0.5897618,0.6586036,0.64410865,0.065652624,0.6601995
47,0.016751923,0.5902886,0.6591352,0.65401536,0.07582115,0.65973526
48,0.017528392,0.59033436,0.660112,0.64493805,0.078973755,0.65929186
49,0.019358795,0.5905635,0.65908223,0.6424264,0.08634142,0.6591791
50,0.020967674,0.5908612,0.66039026,0.6425735,0.09257716,0.6587827
