,BinaryRecall,BinaryAccuracy,BinaryAUROC,BinaryPrecision,BinaryFBetaScore,Loss
0,0.0,0.587082,0.60650074,0.0,0.0,0.67219746
1,0.0,0.587082,0.63693845,0.0,0.0,0.66775405
2,0.0,0.587082,0.6543687,0.0,0.0,0.6641956
3,0.00022197558,0.5871736,0.6642629,0.2,0.0011049724,0.6608227
4,0.0035503786,0.58790654,0.6689631,0.7392857,0.017330775,0.6577214
5,0.01486818,0.59019697,0.6736477,0.69208074,0.06726889,0.6547311
6,0.04592901,0.5963353,0.67562777,0.66227484,0.17821153,0.6518043
7,0.085422695,0.6025653,0.6774104,0.64309776,0.27504107,0.6489542
8,0.123811685,0.60778743,0.6786427,0.6303075,0.34215948,0.6465045
9,0.17372938,0.6153917,0.6795212,0.62403786,0.4102683,0.64398533
10,0.21766134,0.6218049,0.680173,0.62145835,0.45231098,0.6417985
11,0.24650092,0.6251031,0.68125296,0.61749566,0.4726368,0.6395863
12,0.2746879,0.6295923,0.68199706,0.6150537,0.49226323,0.63765544
13,0.29176894,0.6311498,0.6826242,0.6133323,0.5018766,0.63583934
14,0.3092986,0.63270724,0.68298775,0.60903966,0.5093561,0.6343677
15,0.33769792,0.63637197,0.6835273,0.6088639,0.5232831,0.6330792
16,0.351898,0.638754,0.6849138,0.6089342,0.5310018,0.6314376
17,0.3831872,0.63921213,0.6845001,0.5994792,0.5378753,0.6306757
18,0.3749704,0.63838756,0.68486625,0.6002924,0.53533274,0.6296851
19,0.39096174,0.6403115,0.6857647,0.5986782,0.5405447,0.6287888
20,0.40892678,0.64040315,0.68595326,0.5938476,0.5440649,0.62782705
21,0.41491175,0.640678,0.68671024,0.5929051,0.54601485,0.6270892
22,0.43066245,0.63921213,0.68681264,0.5870436,0.5465955,0.62684333
23,0.4051527,0.64021987,0.6875798,0.5950898,0.5437223,0.62617123
24,0.43311223,0.6416858,0.6881016,0.590094,0.5500982,0.6255542
25,0.4362123,0.64287674,0.68781734,0.59199417,0.552394,0.6255918
26,0.4526434,0.6435181,0.68880826,0.58960307,0.55464756,0.62506783
27,0.46040517,0.64709115,0.6894914,0.59406745,0.5609604,0.62428445
28,0.43554783,0.6436097,0.6899444,0.59362,0.5530842,0.623997
29,0.46172228,0.6456253,0.68992186,0.59134895,0.55948496,0.62402946
30,0.44663382,0.64590013,0.6904488,0.5955411,0.5580269,0.623669
31,0.47172102,0.64608335,0.6906791,0.58936954,0.5610651,0.6233176
32,0.46549216,0.6469079,0.6915673,0.5929188,0.5618782,0.62279814
33,0.48170298,0.6483738,0.6913854,0.5913469,0.56534946,0.6227969
34,0.45307136,0.646633,0.69219303,0.5950708,0.55981326,0.6224388
35,0.4741512,0.6475493,0.6925206,0.5915202,0.5635427,0.6221254
36,0.4856875,0.6481906,0.692807,0.5907937,0.5658348,0.6219662
37,0.44354337,0.64699954,0.69320667,0.5979892,0.55861485,0.6219921
38,0.47083727,0.6496565,0.6936656,0.5962804,0.5654931,0.6215991
39,0.49899054,0.65020615,0.6944417,0.5922133,0.56971043,0.6214303
40,0.47194272,0.6483738,0.69387996,0.5942512,0.5643176,0.62137747
41,0.49213487,0.6503894,0.69418913,0.5926324,0.5689078,0.6211715
42,0.46860838,0.65213007,0.69502497,0.60373724,0.56868577,0.62113225
43,0.49966756,0.651672,0.69522125,0.5932327,0.5716403,0.6204375
44,0.48237333,0.65121394,0.6951936,0.59617746,0.56884825,0.6206958
45,0.4839166,0.651672,0.6956626,0.59668803,0.5696939,0.62022984
46,0.4690543,0.65158045,0.6963178,0.6015541,0.56824845,0.6200658
47,0.4839193,0.65332115,0.69655335,0.59989613,0.57215315,0.61979705
48,0.46106324,0.6505726,0.69674236,0.6006704,0.5659331,0.6198523
49,0.48547286,0.65405405,0.6972621,0.60101604,0.573119,0.61953366
50,0.48902845,0.651672,0.6970213,0.5959414,0.57039756,0.6195985
51,0.47437486,0.6500229,0.6971787,0.59620845,0.56686115,0.6195062
52,0.46883115,0.6539625,0.6977845,0.6049012,0.5711334,0.61926484
53,0.49013442,0.65432894,0.69822675,0.6008024,0.57409817,0.6189587
54,0.48391414,0.65341276,0.6983894,0.6000951,0.5724057,0.61868364
55,0.48790208,0.6535044,0.69869125,0.59921247,0.57265735,0.6185374
56,0.47194347,0.6532295,0.6977573,0.60246557,0.5703017,0.6192212
57,0.47259784,0.653596,0.6990739,0.6036945,0.5714833,0.61838895
58,0.4863574,0.6557031,0.69909984,0.6031248,0.5751606,0.61830115
59,0.48480898,0.653596,0.69952786,0.6005033,0.5727619,0.61814773
60,0.49411887,0.654787,0.698853,0.6005863,0.57527846,0.6184031
61,0.49169317,0.6553367,0.6997121,0.6011898,0.5750636,0.61807287
62,0.48435736,0.6565277,0.6998354,0.6053794,0.5760457,0.6181996
63,0.4612975,0.6527714,0.7002382,0.6049839,0.56862843,0.6181048
64,0.47903687,0.65661937,0.7002075,0.606285,0.5754478,0.6177733
65,0.4885764,0.654787,0.6999024,0.60108083,0.57447886,0.61768514
66,0.45241746,0.65487856,0.7009429,0.6110342,0.5707651,0.6176603
67,0.5018848,0.6557032,0.70067084,0.5994798,0.5768215,0.6175823
68,0.48191935,0.65451217,0.70102006,0.60357106,0.57376564,0.6173469
69,0.4939023,0.6561612,0.7009123,0.6030225,0.57695824,0.61728305
70,0.46483904,0.65551996,0.70096,0.6090374,0.5728741,0.6176599
71,0.49368802,0.65442055,0.7006043,0.5993249,0.5740933,0.6174813
72,0.45906743,0.6558864,0.70153284,0.61152697,0.57289803,0.6174981
73,0.4563983,0.6564361,0.7020414,0.6141981,0.5738472,0.61715305
74,0.4743847,0.6555199,0.7019515,0.6061677,0.5734919,0.6169174
75,0.4759287,0.65524507,0.70170844,0.60507715,0.5737306,0.61690176
76,0.4950026,0.65698576,0.7021093,0.60402113,0.5781607,0.61668086
77,0.48701936,0.65652776,0.701872,0.6045431,0.5765897,0.6166396
