,BinaryAccuracy,Loss
0,0.65697145,0.620653
1,0.66951466,0.60606116
2,0.6699691,0.6051533
3,0.675968,0.60038334
4,0.683603,0.5958298
5,0.6815125,0.59571594
6,0.6790584,0.59613305
7,0.683603,0.59342194
8,0.6868751,0.58964515
9,0.6897837,0.5901405
10,0.6850573,0.5867501
11,0.6878749,0.58795786
12,0.6913288,0.58568513
13,0.6882385,0.5847912
14,0.6942374,0.5824344
15,0.6907835,0.58141994
16,0.6950554,0.579169
17,0.689511,0.57809025
18,0.6982367,0.57717127
19,0.697964,0.57168317
20,0.7019633,0.569619
21,0.7032358,0.56671965
22,0.7102345,0.5632101
23,0.71323395,0.55760205
24,0.71250683,0.556095
25,0.71768767,0.54880947
26,0.72468644,0.54371154
27,0.73304856,0.5310759
28,0.7392292,0.5253346
29,0.7463189,0.5109099
30,0.7508635,0.50345963
31,0.77067804,0.47456574
32,0.77440464,0.46767634
33,0.78522086,0.4529516
34,0.79194695,0.4356113
35,0.8043083,0.4191927
36,0.8228504,0.387957
37,0.83203053,0.377608
38,0.84348303,0.35422745
39,0.85248137,0.3316964
40,0.86366117,0.3098644
41,0.87475,0.2914602
42,0.8809307,0.27366167
43,0.89320123,0.2527438
44,0.895928,0.24297915
45,0.91101617,0.2173451
46,0.91665155,0.20511174
47,0.917106,0.1932497
48,0.9283767,0.17556135
49,0.9279222,0.17614852
50,0.9391929,0.14785364
51,0.9371023,0.15410398
52,0.9457371,0.14037485
53,0.9461007,0.13826288
54,0.95055443,0.12913959
55,0.9584621,0.111709334
56,0.9525541,0.118106365
57,0.961916,0.0956015
58,0.96137065,0.09833367
59,0.96527904,0.08880764
60,0.96237046,0.09780901
61,0.96746045,0.08875427
62,0.97609526,0.06888737
63,0.97836757,0.06240351
64,0.97245955,0.06844538
65,0.97391385,0.069517
66,0.9768224,0.058791906
67,0.98009455,0.05388731
68,0.97718596,0.06222792
69,0.9791856,0.05483549
70,0.9802763,0.052758336
71,0.983912,0.04652697
72,0.978004,0.05970353
73,0.9852754,0.04080899
74,0.98609346,0.037088007
75,0.9818215,0.04749466
76,0.9814579,0.050445173
77,0.9840029,0.04585072
78,0.9862752,0.037891746
79,0.9874568,0.034703515
80,0.9862752,0.03888736
81,0.98718417,0.036489166
82,0.9889111,0.03311796
83,0.9880022,0.032677785
84,0.98727506,0.033803478
85,0.9906381,0.027095592
86,0.9954554,0.015930308
87,0.9927286,0.019713514
88,0.99218327,0.02266822
89,0.9908199,0.027799215
90,0.99100167,0.025554324
91,0.9908199,0.028474074
92,0.99091077,0.024379997
93,0.9933649,0.017180864
94,0.9914561,0.023518208
95,0.9920924,0.021694928
96,0.99091077,0.02532205
97,0.9888202,0.031230956
98,0.9922741,0.02363562
99,0.9935466,0.020238938
