,BinaryAccuracy,Loss
0,0.90021193,0.21778813
1,0.9194449,0.16421299
2,0.9257347,0.14571175
3,0.92978877,0.13777554
4,0.9300796,0.13410018
5,0.9318792,0.13179496
6,0.93233377,0.13069388
7,0.9330428,0.13057199
8,0.93315184,0.13015862
9,0.9345153,0.12621708
10,0.9337336,0.12840101
11,0.9338063,0.12782988
12,0.9351152,0.12527004
13,0.93531525,0.12527277
14,0.93707865,0.12345376
15,0.9360062,0.12473569
16,0.93616974,0.12385468
17,0.93795127,0.12057252
18,0.9365333,0.12299218
19,0.93902385,0.11966447
20,0.93915117,0.120278254
21,0.9384059,0.1222748
22,0.93967855,0.12029825
23,0.9424235,0.114765204
24,0.9432235,0.1137674
25,0.94276905,0.11403874
26,0.94515055,0.1111552
27,0.945278,0.111536205
28,0.9473141,0.10772264
29,0.9500774,0.10513683
30,0.9530589,0.10046438
31,0.9559677,0.09486511
32,0.9569132,0.09356441
33,0.9602765,0.08675418
34,0.9617672,0.08443674
35,0.9642216,0.079124376
36,0.96534884,0.07702686
37,0.9681667,0.074315354
38,0.97033006,0.06913349
39,0.97251165,0.06396932
40,0.97505695,0.059654444
41,0.9760569,0.05683273
42,0.978693,0.051709514
43,0.9784566,0.05165715
44,0.97992915,0.048902396
45,0.9818746,0.045323692
46,0.9824926,0.044067986
47,0.98478335,0.039515615
48,0.9850197,0.037250213
49,0.9883102,0.030282736
50,0.98618317,0.035267837
51,0.9882194,0.031183993
52,0.9870559,0.033370867
53,0.988274,0.030096367
54,0.9901101,0.026010197
55,0.991419,0.023581758
56,0.9903647,0.025567483
57,0.9907464,0.024264649
58,0.99207354,0.021456841
59,0.9917644,0.021356931
60,0.9921826,0.02042954
61,0.993237,0.018486189
62,0.9942006,0.015913399
63,0.9926189,0.019263415
64,0.99349153,0.017772611
65,0.9946369,0.014993268
66,0.99434614,0.014698558
67,0.9942188,0.015756276
68,0.9949461,0.013372849
69,0.9933279,0.018415747
70,0.99414617,0.016388617
71,0.995146,0.013757201
72,0.9960368,0.011231547
73,0.9948551,0.014302355
74,0.99496424,0.013615541
75,0.99576414,0.012293732
76,0.99576414,0.012727978
77,0.9951642,0.013167012
78,0.9958733,0.011684507
79,0.9961278,0.010993711
80,0.99685496,0.009682638
81,0.9961459,0.011214183
82,0.9959278,0.011828365
83,0.996055,0.011050908
84,0.9972003,0.008000506
85,0.9975275,0.0071644993
86,0.9967459,0.009030597
87,0.9976366,0.007502121
88,0.9968004,0.01003721
89,0.99703676,0.008786084
90,0.9971822,0.008356278
91,0.9969095,0.008534499
92,0.99672765,0.009148103
93,0.9977458,0.006059968
94,0.9977094,0.007290151
95,0.99789125,0.0062940964
96,0.99769115,0.0070166537
97,0.9971094,0.008455851
98,0.9976548,0.0062229307
99,0.99812746,0.0057550636
