,BinaryAccuracy,BinaryPrecision,BinaryRecall,BinaryAUROC,BinaryF1Score,Loss
0,0.8582878,0.77922386,0.7055642,0.8259884,0.7177866,0.30449522
1,0.8760129,0.8572714,0.74407107,0.8481091,0.7738317,0.26070887
2,0.88735694,0.8643511,0.7852604,0.8657654,0.8151075,0.23419902
3,0.89153814,0.8690144,0.7963401,0.8714056,0.8252575,0.22557554
4,0.8963558,0.87433994,0.80895936,0.8778731,0.8358482,0.21598943
5,0.8980646,0.87424195,0.81502056,0.8805022,0.8397037,0.21101324
6,0.9001007,0.87754613,0.8163117,0.88238066,0.84134996,0.20542769
7,0.90135515,0.8781624,0.8207833,0.8843154,0.84446526,0.2046537
8,0.9048457,0.8836972,0.826944,0.88837063,0.85071135,0.19755122
9,0.9042093,0.88124096,0.8264966,0.88777417,0.8490698,0.19617184
10,0.907518,0.8868001,0.83002365,0.89112914,0.8535665,0.18830726
11,0.910754,0.89040565,0.8375751,0.8952776,0.8597412,0.18381026
12,0.9106631,0.8897446,0.8388673,0.8954792,0.860363,0.18385534
13,0.9128993,0.89336157,0.841997,0.8979043,0.8637892,0.18131532
14,0.9131721,0.89420384,0.8413013,0.8979723,0.86360997,0.17928794
15,0.9140628,0.8933749,0.84522593,0.89950436,0.8655752,0.17604715
16,0.9155718,0.8956291,0.848406,0.9013669,0.86842155,0.176799
17,0.91477185,0.89455396,0.8466172,0.9003577,0.8668664,0.17503634
18,0.9166263,0.8970628,0.84885263,0.9022926,0.86898834,0.17132613
19,0.9171171,0.8966284,0.8523303,0.903415,0.8710427,0.17093967
20,0.9180623,0.898256,0.8525289,0.90420246,0.87192523,0.16728519
21,0.9197895,0.8995492,0.8569009,0.9064889,0.87496984,0.1630861
22,0.92046225,0.9012515,0.8569506,0.9070298,0.875687,0.16292292
23,0.9210621,0.9017873,0.85928595,0.9079968,0.87742424,0.16233598
24,0.9212257,0.9015247,0.8619196,0.9086828,0.87910736,0.16406617
25,0.9225892,0.9038884,0.8619688,0.9097683,0.87987936,0.15916805
26,0.9212985,0.9036393,0.85804397,0.90792054,0.8775317,0.16167861
27,0.92249835,0.90292245,0.8630614,0.90992767,0.88019335,0.15755102
28,0.9233345,0.90383947,0.86440295,0.91087073,0.8813059,0.15461971
29,0.9242072,0.9047057,0.8662411,0.9119474,0.88273656,0.15241972
30,0.9245163,0.9062411,0.8645519,0.91183394,0.88221186,0.15361372
31,0.92435277,0.9059882,0.8646016,0.9117155,0.88216007,0.15510894
32,0.9262616,0.9085577,0.86812896,0.91396666,0.8853935,0.15088429
33,0.9265706,0.9074848,0.8699174,0.91458845,0.88578206,0.14884214
34,0.9278614,0.90900785,0.8733457,0.9163313,0.8886477,0.14672813
35,0.9276978,0.9097617,0.87140787,0.91579247,0.8878457,0.14611387
36,0.92680705,0.9087755,0.86932117,0.91464883,0.8860534,0.14929888
37,0.9276432,0.9090311,0.87334585,0.91615933,0.88887185,0.14550324
38,0.9294976,0.91215867,0.87448806,0.9178631,0.89075726,0.14247194
39,0.9290614,0.9117977,0.8738922,0.917393,0.89010036,0.1451037
40,0.92958844,0.91104573,0.87642604,0.9183445,0.89118654,0.14305007
41,0.9294432,0.91237897,0.8747368,0.9178726,0.89088476,0.14509502
42,0.9301521,0.9137071,0.87558156,0.91861045,0.8919529,0.14418282
43,0.9298067,0.9125147,0.8772213,0.91868496,0.8927013,0.14308982
44,0.93082476,0.9125001,0.8803016,0.920139,0.8943262,0.14015564
45,0.92984295,0.912851,0.8753828,0.91832465,0.89153993,0.1427284
46,0.93211555,0.91588545,0.8787608,0.9208309,0.894697,0.13760106
47,0.93289727,0.91758204,0.8802517,0.92176265,0.8964256,0.13743037
48,0.93355167,0.91660213,0.88338155,0.92294055,0.8977486,0.13522537
49,0.9354971,0.9205437,0.8860649,0.925042,0.9011405,0.13365735
50,0.93444264,0.9182868,0.88313276,0.9235902,0.8980338,0.13325606
51,0.9346062,0.91955024,0.88268596,0.9236248,0.8984194,0.13425037
52,0.93418807,0.9183057,0.8839779,0.92356855,0.89888537,0.13563128
53,0.93380624,0.9187721,0.88124526,0.92268944,0.8974668,0.13483408
54,0.9340971,0.91955745,0.8820406,0.9230871,0.8981754,0.13540167
55,0.93487895,0.9199421,0.88457453,0.92423934,0.8999117,0.13494425
56,0.9358424,0.9202914,0.8872075,0.9255559,0.90151644,0.13215055
57,0.93538797,0.92034113,0.88621396,0.9249875,0.9011043,0.13301504
58,0.93749684,0.92457837,0.8871578,0.92684996,0.9032335,0.13027878
59,0.9376423,0.922824,0.89138114,0.9278579,0.90520704,0.12907901
60,0.9379331,0.92415,0.8903877,0.9278771,0.90515673,0.12877573
61,0.9378967,0.9246694,0.8886484,0.9274805,0.90420496,0.12892261
62,0.9380423,0.9247629,0.8896921,0.92781603,0.90495026,0.12765816
63,0.93858767,0.92542726,0.89058626,0.92843515,0.90579474,0.12597498
64,0.9403874,0.92769825,0.8941139,0.93060035,0.9087197,0.12512133
