,BinaryAccuracy,BinaryPrecision,BinaryRecall,BinaryAUROC,BinaryF1Score,Loss
0,0.6265196,0.46921548,0.04616947,0.5079981,0.08394761,0.6424801
1,0.65937734,0.61612177,0.22357161,0.57037437,0.32639417,0.61751825
2,0.6681987,0.6002426,0.32115102,0.59732354,0.41827807,0.61049354
3,0.6720905,0.6003391,0.35251266,0.60682505,0.44407362,0.6066757
4,0.67212754,0.59803534,0.35929352,0.60823923,0.44884592,0.60588443
5,0.67253524,0.5969558,0.36617535,0.6099695,0.45382518,0.6041005
6,0.6742773,0.59832513,0.37674585,0.6135146,0.46215862,0.60303247
7,0.67690885,0.601095,0.38871145,0.6180521,0.47205812,0.6013061
8,0.67689025,0.6044456,0.3778427,0.6158179,0.4649271,0.60147226
9,0.6762602,0.5999815,0.38691714,0.6171697,0.47038823,0.6005436
10,0.67722386,0.60263824,0.3867175,0.6178957,0.47101235,0.6003742
11,0.67644554,0.5999747,0.38851207,0.6176427,0.47161478,0.59893644
12,0.6785767,0.60253316,0.39748788,0.6211721,0.47884673,0.5980692
13,0.6800963,0.60382855,0.40551457,0.62402046,0.48511606,0.59686583
14,0.67939216,0.60168135,0.40721026,0.6238064,0.48557615,0.596184
15,0.67981845,0.6015681,0.41055042,0.6248275,0.4879921,0.59634036
16,0.68013346,0.60349864,0.40691146,0.62433547,0.48590112,0.5953506
17,0.6825241,0.6063775,0.416185,0.62813157,0.49350023,0.59399974
18,0.68217194,0.60348,0.42311502,0.62926626,0.49731764,0.59386474
19,0.6834692,0.60635865,0.4230155,0.63027835,0.49828428,0.5930537
20,0.6831357,0.6057631,0.42281628,0.6299724,0.4979562,0.5924225
21,0.6839881,0.6088609,0.4191764,0.6299074,0.4964463,0.5925946
22,0.6847665,0.6059145,0.43478268,0.6337139,0.50623274,0.5912357
23,0.6857487,0.6095481,0.42974702,0.63346726,0.50404143,0.5909432
24,0.68471086,0.6069008,0.4308436,0.63286525,0.5039085,0.5903765
25,0.6860267,0.60910404,0.43353558,0.63446176,0.50646955,0.58954847
26,0.6894922,0.61534494,0.43907014,0.6383499,0.51245356,0.5874344
27,0.68528545,0.60688144,0.4353308,0.6342386,0.5069314,0.58882403
28,0.6890104,0.6144727,0.43847197,0.6378444,0.5117363,0.58654463
29,0.69047445,0.61564744,0.4453033,0.6404048,0.51677,0.5859559
30,0.69054854,0.6173681,0.44041675,0.63946575,0.51408327,0.5850439
31,0.69040024,0.61509216,0.44635004,0.64055943,0.5172865,0.5847511
32,0.69240177,0.6176108,0.45283127,0.6434755,0.52248126,0.58379585
33,0.69021493,0.61552876,0.4437573,0.63988245,0.51570815,0.5839129
34,0.6931616,0.61963767,0.4517848,0.6438667,0.5225129,0.5818592
35,0.6924017,0.61901456,0.44844404,0.64257973,0.5200906,0.5826001
36,0.69321716,0.6196778,0.4520339,0.64396167,0.5227269,0.58105075
37,0.69310606,0.6173179,0.4586157,0.64521754,0.52626234,0.57965314
38,0.6941623,0.6215242,0.4534297,0.64499867,0.5242427,0.57877874
39,0.69822085,0.6278329,0.46200675,0.6499806,0.5322696,0.5768007
40,0.6966456,0.6250246,0.45971245,0.6482581,0.5297208,0.5774897
41,0.6963862,0.62582266,0.4555741,0.6472065,0.52727747,0.5750248
42,0.69662714,0.62327737,0.46449852,0.64922065,0.53227013,0.576252
43,0.697387,0.6252478,0.46390072,0.6497034,0.53261113,0.5749646
44,0.69929576,0.6284638,0.46749043,0.6519553,0.5360672,0.5730711
45,0.70183474,0.6342553,0.46734086,0.6539453,0.53808486,0.572447
46,0.6995553,0.6283057,0.4693857,0.65254915,0.53731894,0.5717413
47,0.6994811,0.6294343,0.46569523,0.6517362,0.5352033,0.57195246
48,0.70524466,0.63860166,0.47691402,0.65861386,0.54599005,0.5686563
49,0.7038547,0.63530123,0.4772137,0.65756917,0.54501295,0.5686641
50,0.7062824,0.64053524,0.47811085,0.6596843,0.54751706,0.5658386
51,0.70498514,0.6375238,0.47806096,0.65864176,0.54637456,0.5658413
52,0.707172,0.64131916,0.48140183,0.6610643,0.5499487,0.5640305
53,0.7084507,0.6441997,0.48170018,0.6621424,0.5511402,0.56349456
54,0.71158266,0.64888126,0.48828244,0.66597927,0.5571968,0.5604105
55,0.71212006,0.64879644,0.49152294,0.6670688,0.55929273,0.558352
56,0.71360266,0.65096647,0.49466428,0.66889,0.56211126,0.5559085
57,0.7164751,0.6560072,0.49895272,0.6720518,0.56675947,0.5534949
58,0.7164381,0.6561165,0.4981545,0.67185915,0.56628174,0.553474
59,0.71969974,0.6599027,0.5072297,0.67630833,0.5735553,0.5507268
60,0.7188473,0.6596768,0.50329006,0.6748251,0.5709198,0.5488265
61,0.7216086,0.664498,0.5069798,0.6777761,0.57512915,0.5478535
62,0.7232765,0.6654962,0.5136112,0.68045765,0.579737,0.543752
63,0.7245552,0.6677179,0.5153564,0.6818317,0.581718,0.54326594
