,BinaryAccuracy,Loss
0,0.65606254,0.6194019
1,0.66933286,0.60738564
2,0.6702418,0.60413057
3,0.67551357,0.60139865
4,0.682785,0.59679973
5,0.6840574,0.59537673
6,0.6823305,0.5943117
7,0.6830576,0.5928539
8,0.6868751,0.58941483
9,0.692874,0.5895329
10,0.6887839,0.58677036
11,0.6870569,0.5870822
12,0.6938738,0.585737
13,0.6898746,0.5834432
14,0.6916924,0.58369106
15,0.6915106,0.58260715
16,0.6951463,0.5791017
17,0.6939647,0.5766817
18,0.7015997,0.57529086
19,0.694601,0.57266843
20,0.7018724,0.5705828
21,0.70478094,0.5671669
22,0.70923465,0.56376225
23,0.71596074,0.557653
24,0.71723324,0.5548761
25,0.71914196,0.54910463
26,0.7212325,0.54428273
27,0.73177606,0.53602064
28,0.7395019,0.5278541
29,0.7417742,0.51604533
30,0.7517724,0.5072395
31,0.7637702,0.48594666
32,0.77104163,0.4699128
33,0.78231233,0.45900333
34,0.78940195,0.44527486
35,0.7982185,0.42527577
36,0.8167606,0.3939331
37,0.8297582,0.3816818
38,0.83503,0.3612171
39,0.84711874,0.34181735
40,0.85493547,0.32027736
41,0.8712961,0.29616234
42,0.8728413,0.2871306
43,0.88493,0.26413858
44,0.89701873,0.24445161
45,0.90119976,0.2319627
46,0.90692604,0.22139001
47,0.9108344,0.20792568
48,0.9244683,0.17884977
49,0.928104,0.1749573
50,0.9323759,0.16026944
51,0.9325577,0.16211851
52,0.9419196,0.14614634
53,0.9457371,0.14249016
54,0.95037264,0.12329277
55,0.9548264,0.11917817
56,0.9508271,0.12445718
57,0.96264315,0.09553446
58,0.95909834,0.10443676
59,0.95873475,0.10329412
60,0.96500635,0.09424369
61,0.96764225,0.08648494
62,0.97291404,0.07263209
63,0.97355026,0.07149001
64,0.97073257,0.08242705
65,0.97400475,0.06823534
66,0.97718596,0.06484046
67,0.97582257,0.06477412
68,0.9814579,0.049388602
69,0.98209417,0.04677368
70,0.9793674,0.058859177
71,0.97709507,0.063543774
72,0.97509545,0.064893015
73,0.986457,0.036324717
74,0.98709327,0.03361457
75,0.98363936,0.047197986
76,0.9793674,0.054308638
77,0.9841847,0.043837346
78,0.988184,0.033222675
79,0.9887293,0.03235807
80,0.9879113,0.032220088
81,0.98254865,0.050654735
82,0.9879113,0.03130947
83,0.9895474,0.031682145
84,0.9870024,0.03604839
85,0.9901836,0.02625882
86,0.9933649,0.019727942
87,0.9906381,0.02727243
88,0.99091077,0.026299894
89,0.9899109,0.027589455
90,0.9880931,0.030042317
91,0.989002,0.03276445
92,0.98836577,0.03335304
93,0.9926377,0.021383086
94,0.9937284,0.019156257
95,0.9930013,0.02187671
96,0.9925468,0.021176584
97,0.9920015,0.023111094
98,0.9900018,0.027094208
99,0.9925468,0.021389326
