epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,0.5703125,,1.4208285808563232,,
0,85,,,,,0.5868459343910217,1.3214188814163208
0,85,0.5803344249725342,,1.4742980003356934,,,
1,99,,0.6015625,,1.2494337558746338,,
1,149,,0.578125,,1.2553911209106445,,
1,171,,,,,0.5868459343910217,1.247969150543213
1,171,0.583605945110321,,1.2399885654449463,,,
2,199,,0.5625,,1.2204139232635498,,
2,249,,0.546875,,1.1781452894210815,,
2,257,,,,,0.5868459343910217,1.181491732597351
2,257,0.5836968421936035,,1.1751396656036377,,,
3,299,,0.6875,,1.0174709558486938,,
3,343,,,,,0.5868459343910217,1.1478956937789917
3,343,0.5836968421936035,,1.1359294652938843,,,
4,349,,0.5390625,,1.197924256324768,,
4,399,,0.625,,1.05355703830719,,
4,429,,,,,0.5868459343910217,1.1406166553497314
4,429,0.5836968421936035,,1.1111801862716675,,,
5,449,,0.578125,,1.0921789407730103,,
5,499,,0.5703125,,1.1067569255828857,,
5,515,,,,,0.5868459343910217,1.1350154876708984
5,515,0.583787739276886,,1.0989387035369873,,,
6,549,,0.59375,,1.0766279697418213,,
6,599,,0.59375,,1.104573130607605,,
6,601,,,,,0.5868459343910217,1.1222068071365356
6,601,0.5836968421936035,,1.0949695110321045,,,
7,649,,0.640625,,1.038855791091919,,
7,687,,,,,0.5868459343910217,1.1361738443374634
7,687,0.5836968421936035,,1.0947784185409546,,,
8,699,,0.578125,,1.091459035873413,,
8,749,,0.625,,1.085893988609314,,
8,773,,,,,0.5868459343910217,1.1697089672088623
8,773,0.5836968421936035,,1.0964139699935913,,,
9,799,,0.5390625,,1.124908447265625,,
9,849,,0.5234375,,1.2231659889221191,,
9,859,,,,,0.5868459343910217,1.117354154586792
9,859,0.583787739276886,,1.10084068775177,,,
10,899,,0.5234375,,1.2074333429336548,,
10,945,,,,,0.5868459343910217,1.1780505180358887
10,945,0.5836968421936035,,1.108880877494812,,,
11,949,,0.6171875,,1.084784746170044,,
11,999,,0.6015625,,1.0583984851837158,,
11,1031,,,,,0.5868459343910217,1.241417646408081
11,1031,0.583605945110321,,1.11522376537323,,,
